id,user_id,title,description,taxonomy,amount,currency,reservado,envio,url_completa,ciudad
nz04385nmrjo,kmzn3g78wyjn,Todo tipo de reformas,"Grupo Genesis, nos encargamos de hacer todo tipo de reformas, ya sean integrales o cambiar solo un baño, contamos con mas de 20 años de experiencia en el sector, y un gran equipo de profesionales, le atenderemos desde el comienzo de la obra hasta el final, no dude en ponerse en contacto con nosotros, atendemos por telefono, WhatsApp o Email, puede venir a visitarnos a nuestras oficinas o podemos desplazarnos al lugar deseado.","[{'id': 19000, 'name': 'Construction', 'icon': 'building'}, {'id': 10146, 'name': 'Others', 'icon': None}]",0,EUR,False,False,https://es.wallapop.com/item/todo-tipo-de-reformas-1077247927,Madrid
nzx4xl21kej2,36ewdy0m3y6d,Carretilla de mano,Carretilla de mano,"[{'id': 19000, 'name': 'Construction', 'icon': 'building'}, {'id': 10144, 'name': 'Tools & machinery', 'icon': None}, {'id': 10317, 'name': 'Tools', 'icon': None}]",30,EUR,False,True,https://es.wallapop.com/item/carretilla-de-mano-1091487078,Madrid
w674o3enoy6x,436e8dlpln6d,Pinza,"Terminaciones de conector trapezoidal de un solo golpe.
• Construcción robusta de acero para herramientas totalmente de carbono.
Duelos
• Diseñado para conectores keystone de 4 pares tipo 110.
• Acabado de óxido negro resistente al óxido.
• Mangos de TPR con agarre cómodo. Reducen la tensión en las manos en trabajos grandes con uso prolongado.","[{'id': 19000, 'name': 'Construction', 'icon': 'building'}, {'id': 10144, 'name': 'Tools & machinery', 'icon': None}, {'id': 10317, 'name': 'Tools', 'icon': None}]",5,EUR,False,False,https://es.wallapop.com/item/pinza-1091371228,Madrid
wzy41er1pvz5,ejk489g24yzx,Pintor Economico,"Pintor Economico Soy Oficial con amplia experiencia con mas de 20 años en oficio Español tanto en obras como en reformas todo tipo de pinturas y calidades, limpieza y seriedad asegurada. Presupuestos sin compromiso competitivos y claros Oficinas, Viviendas, Reformas, Talleres, Naves, Comunidades, etc atiendo wassap 699672030","[{'id': 19000, 'name': 'Construction', 'icon': 'building'}, {'id': 10148, 'name': 'Paints & varnishes', 'icon': None}, {'id': 10323, 'name': 'Paints', 'icon': None}]",1,EUR,False,False,https://es.wallapop.com/item/pintor-economico-1090972620,Madrid
nzx48eo175j2,kmzn3g78wyjn,REFORMA,"Sabemos lo que conlleva una reforma, por eso en Grupo Genesis nos ofrecemos a ayudarles desde el inicio de la misma hasta conseguir el resultado deseado, todo tipo de reformas a traves de un gran equipo especializado en todos los oficios, nos avalan nuestros años de experiencia y seriedad, no dude en contactarnos.","[{'id': 19000, 'name': 'Construction', 'icon': 'building'}, {'id': 10146, 'name': 'Others', 'icon': None}]",50,EUR,False,True,https://es.wallapop.com/item/reforma-1077248306,Madrid
vjrq2l0ep4zk,8x6q3789xnzy,Navaja para coleccionismo,Navaja de 19 centímetros de longitud total con mango de madera y acero inoxidable 420.Apertura especial.Navaja de colección,"[{'id': 19000, 'name': 'Construction', 'icon': 'building'}, {'id': 10144, 'name': 'Tools & machinery', 'icon': None}, {'id': 10317, 'name': 'Tools', 'icon': None}]",22,EUR,False,True,https://es.wallapop.com/item/navaja-para-coleccionismo-1090841719,Madrid
e658knn8p26o,kp617e4p1g65,Rotulos comercio economico,"Se diseñan y fabrican rótulos económicos con un sistema innovador y sencillo. Olvídate de diseñar un vinillo o toda una estructura compleja: con esta opción, solo necesitas colocar las letras. Estas letras, de distintos grosores, aportan volumen y elegancia a cualquier espacio. Una solución económica y estilizada para quienes buscan destacar. Escríbeme para más información y presupuestos sin compromiso","[{'id': 19000, 'name': 'Construction', 'icon': 'building'}, {'id': 10146, 'name': 'Others', 'icon': None}]",35,EUR,False,False,https://es.wallapop.com/item/rotulos-comercio-economico-1089486348,Madrid
qzmexk2vmljv,9jdxo30rnlzk,Carro Rolser Sbelta MF 4.2  Marengo,"Carro Rolser de aluminio de 2/4 ruedas, ","[{'id': 19000, 'name': 'Construction', 'icon': 'building'}, {'id': 10143, 'name': 'Hardware', 'icon': None}]",75,EUR,False,True,https://es.wallapop.com/item/carro-rolser-sbelta-mf-4-2-marengo-1089212708,Madrid
e658k1n7qp6o,v4z4vxvw5wzy,Cerramiento con puerta corredera gris antracita ,"cerramiento con puerta corredera marco en gris antracita nuevo. lo vendo por reforma ya desmontado. 
alto 2.44 ancho del fijo 1.26 y ancho de la puerta corredera 0,93","[{'id': 19000, 'name': 'Construction', 'icon': 'building'}, {'id': 10149, 'name': 'Doors & windows', 'icon': None}, {'id': 10326, 'name': 'Sliding doors', 'icon': None}]",800,EUR,False,False,https://es.wallapop.com/item/cerramiento-con-puerta-corredera-gris-antracita-1088823896,Madrid
qzmexkqk0xjv,9jdxo30rnlzk,Magafesa star olla a presion rapida 4L,"MAGEFESA STAR Olla a presión rápida, fácil uso, acero inoxidable 18/10, apta para inducción RECTA 4L","[{'id': 19000, 'name': 'Construction', 'icon': 'building'}, {'id': 10143, 'name': 'Hardware', 'icon': None}]",45,EUR,False,True,https://es.wallapop.com/item/magafesa-star-olla-a-presion-rapida-4l-1089203656,Madrid
v6gg5wdxnm6e,9jdxo30rnlzk,Olla a presion rapida magafesa 8L,"MAGEFESA STAR Olla a presión rápida, fácil uso, acero inoxidable 18/10, apta para inducción RECTA 8L","[{'id': 19000, 'name': 'Construction', 'icon': 'building'}, {'id': 10143, 'name': 'Hardware', 'icon': None}]",65,EUR,False,True,https://es.wallapop.com/item/olla-a-presion-rapida-magafesa-8l-1089203040,Madrid
36e14g0lpyjd,e65yv1oy0kjo,Trabajo LED Azul para pulverización,"Fuente de luz: 9 x 5W LEDs,Voltios: diez-80V,Tipo de carcasa: Aleación de Aluminio y Magnésio,Anchura: 98.5mm,Altura: 98.5mm Hondura: 71.4mm,Con supresión de estruendos: Si, Clasificación IP: IP69K. basculantes, carga, nauticos, ganaderos, motos, quads, TS90, TS100, TS110, 7740, 7840 NEW HOLLAND FIAT 130. 90-180. 90 y FORD 84-86-8830 kubota yanmar iseki mitsubishi pasquali minitractor, tractor pequeño assey ferguson 265, 275, 285, 290, 365, 375, 390, 398, 399, 4235, 4245, 4255, 4335, 4355, fiat 70. 66, 80. 66, 780, 880, 1080, 1280, 70. 90, 80. 90, 90. 90, cien. 90, 110. 90, 130. 90, 140. 90, 160. 90, 180. 90, f100, 120, 130, 140, la","[{'id': 19000, 'name': 'Construction', 'icon': 'building'}, {'id': 10146, 'name': 'Others', 'icon': None}]",55,EUR,False,True,https://es.wallapop.com/item/trabajo-led-azul-para-pulverizacion-1087158739,Madrid
nz04oy5kxejo,0j2w8wqxnejy,REFORMAS BAÑOS!!!,"REALIZAMOS REFORMAS DE BAÑOS,Y PISOS,EN MADRID Y ALREDEDORES!!!
CAMBIO BAÑERA POR PLATO DE DUCHA !!!
MAS QUE 60 TRABAJOS REALIZADOS EN MADRID CAPITAL EN ÚLTIMO UN AÑO Y MEDIA.PROPIA MUESTRA DE LOS PROYECTOS REALIZADOS!!!!
PRESUPUESTO SIN COMPROMISO!!!!
WHATSAPP 656956078.
","[{'id': 19000, 'name': 'Construction', 'icon': 'building'}]",900,EUR,False,True,https://es.wallapop.com/item/reformas-banos-1086203827,Madrid
p6143dlwpx65,e65ygm13dmjo,Milwauke - Taladro percutor  Fuel M12 FPD,"A ESTRENAR - NO NEGOCIABLE
Incluye:
1-Taladro atornillador M12 FPD.
1-Batería de 2Ah.
1-Cargador C12C.
1-Maleta HD-Box.
Milwaukee Dewalt Makita Facom wurth berner cembre knipex haupa wera Bosch alyco usag beta palmera bellota jbm AEG wiha milwaukee Stanley bahco weidmuller cembre","[{'id': 19000, 'name': 'Construction', 'icon': 'building'}, {'id': 10144, 'name': 'Tools & machinery', 'icon': None}, {'id': 10317, 'name': 'Tools', 'icon': None}]",175,EUR,True,True,https://es.wallapop.com/item/milwauke-taladro-percutor-fuel-m12-fpd-1086770855,Madrid
mzn213g3lgzn,v4z485n9ymjy,plegadora manual para chapa mcr-pcx,"plegadora manual para chapa mcr-pcx
maquina nueva
consultar medidas/precio y condiciones según necesidades
tlf 985.34.58.37
envio nacional/internacional.","[{'id': 19000, 'name': 'Construction', 'icon': 'building'}, {'id': 10144, 'name': 'Tools & machinery', 'icon': None}, {'id': 10319, 'name': 'Machinery', 'icon': None}]",0,EUR,False,False,https://es.wallapop.com/item/plegadora-manual-para-chapa-mcr-pcx-1084924849,Madrid
8z8kn8vx9dz3,v4z485n9ymjy,SIERRA DE CINTA DARIO MOD. SN 44 – NUEVA,"SIERRA DE CINTA DARIO MOD. SN 44 – NUEVA
Enviamos a toda España
NORMATIVA – 220 v
PRECIO Y CONDICIONES EN EL TLF 985.34.58.37
#sierradario #dariosn44 #sierradecinta #cabezuelas #porchesmadera #madera #carpinteria #maquinariacarpinteria #sierracurvas #sierradariosn44 #oferta #mcrmaquinaria","[{'id': 19000, 'name': 'Construction', 'icon': 'building'}, {'id': 10144, 'name': 'Tools & machinery', 'icon': None}, {'id': 10319, 'name': 'Machinery', 'icon': None}]",0,EUR,False,False,https://es.wallapop.com/item/sierra-de-cinta-dario-mod-sn-44-nueva-1084919346,Madrid
nz04orl71djo,vjrdrgndw86k,PULIDOR DE SUELOS PROFESIONAL ECONOMICO,"Pulidos de todo tipo de suelos (Marmol, Terrazo, Parquet, Hidraulico etc) 
Trabajos com garantia ( No entreganos el trabajo hasta que el clinete qiede totente satisfecho)

Visitas de presupueto sin compromiso.

632 10 99 42","[{'id': 19000, 'name': 'Construction', 'icon': 'building'}, {'id': 10147, 'name': 'Flooring & paving', 'icon': None}]",3,EUR,False,False,https://es.wallapop.com/item/pulidor-de-suelos-profesional-economico-1085446403,Madrid
wzv4enyp51zl,xpzp4pvm74z3,Set llaves fijas/mixtas STAHWILLE y WALTER.,"Set llaves fijas/mixtas STAHWILLE y WALTER.
Llaves sistema imperial en pulgadas. Ambas manufacturas alemanas.
- STAHWILLE (chrome) medidas:
1 1/8""-1"", 15/16""-7/8"", 5/8""-3/4"", 19/32""-11/16"", 5/16""-11/32"", 19/32"", 3/8"", 5/16"".
-WALTER (chrome-vanadium) medidas: 
1 1/8"", 1 1/16"", 15/16"", 7/8"", 13/16"", 3/4"", 11/16"".

- medidas set 9X9X31 cm. peso 2,5 Kg.
","[{'id': 19000, 'name': 'Construction', 'icon': 'building'}, {'id': 10144, 'name': 'Tools & machinery', 'icon': None}, {'id': 10317, 'name': 'Tools', 'icon': None}]",60,EUR,False,True,https://es.wallapop.com/item/set-llaves-fijas-mixtas-stahwille-y-walter-1084282341,Madrid
8z8kn41lr1z3,xpzp4pvm74z3,SNAP-ON set llaves de vaso.,"SNAP-ON set 5 llaves de vaso.
Llaves sistema imperial en pulgadas.
- medidas: 
1"" (cuadradillo 1/2), 7/8"" (cuadradillo 5/8), 13/16"" (cuadradillo 5/8), 9/16"" (cuadradillo 5/8) y 7/16"" (cuadradillo 1/4).
- peso 755gr.","[{'id': 19000, 'name': 'Construction', 'icon': 'building'}, {'id': 10144, 'name': 'Tools & machinery', 'icon': None}, {'id': 10317, 'name': 'Tools', 'icon': None}]",75,EUR,False,True,https://es.wallapop.com/item/snap-on-set-llaves-de-vaso-1084279922,Madrid
xzo2q42vyl69,e65ymnoer0jo,Magnetotermico schneider A9K17625 1PN 25A,"Reacondicionado. solo envio wallapop o +2,5€ correos","[{'id': 19000, 'name': 'Construction', 'icon': 'building'}, {'id': 10141, 'name': 'Electricity & home lighting', 'icon': None}]",10,EUR,False,True,https://es.wallapop.com/item/magnetotermico-schneider-a9k17625-1pn-25a-1080665809,Madrid
wzy41egglxz5,qzm43okm5yzv,Cortador de baldosas ceramicas ,"marca RUBI en perfectas condicines y con todos los accesoriros, nuevo!","[{'id': 19000, 'name': 'Construction', 'icon': 'building'}, {'id': 10144, 'name': 'Tools & machinery', 'icon': None}, {'id': 10317, 'name': 'Tools', 'icon': None}]",600,EUR,False,True,https://es.wallapop.com/item/cortador-de-baldosas-ceramicas-1091066720,Madrid
