id,user_id,title,description,taxonomy,amount,currency,reservado,envio,url_completa,ciudad
vjrq82dxgwzk,8j3m37p25l69,Chaleco CRESSI START,"chaleco de buceo ideal tanto para iniciarte como si ya tienes algo de experiencia en el buceo recreativo.
Son chalecos nuevos en su caja.
Nos queda uno talla S y una talla M","[{'id': 12579, 'name': 'Sports & leisure', 'icon': 'ball'}, {'id': 10104, 'name': 'Others', 'icon': None}]",215.0,EUR,False,True,https://es.wallapop.com/item/chaleco-cressi-start-1080297091,Madrid
qzmed34lvojv,8ejk85n51yjx,Garmin Edge 1000,"Ordenador GPS 
- Competiciones en recorrido mediante segmentos Garmin Connect™
- Navegación y puntos de interés en carretera y fuera de carretera 
- Hasta 3 opciones de rutas de ida y vuelta
- Cargas instantáneas a Garmin Connect™ Mobile 
- Funciones de conexión¹: llamada entrante, alertas de llamada y mensaje de texto² entrantes, rastreo en tiempo real, envío y recepción de trayectos, uso compartido en redes sociales, partes meteorológicos","[{'id': 12579, 'name': 'Sports & leisure', 'icon': 'ball'}, {'id': 10104, 'name': 'Others', 'icon': None}]",98.0,EUR,False,True,https://es.wallapop.com/item/garmin-edge-1000-1091914232,Madrid
p6140or5qd65,wzvy4q22w4zl,Camiseta Valencia Cf,Camiseta temporada 96-97 original,"[{'id': 12579, 'name': 'Sports & leisure', 'icon': 'ball'}, {'id': 10098, 'name': 'Soccer', 'icon': None}]",225.0,EUR,False,True,https://es.wallapop.com/item/camiseta-valencia-cf-1091823779,Madrid
wzv47yern1zl,npj9m29e8m6e,Botas de montaña Número 40,"Botas de montaña en perfecto estado, del número 40.","[{'id': 12579, 'name': 'Sports & leisure', 'icon': 'ball'}, {'id': 10102, 'name': 'Mountain & ski', 'icon': None}]",20.0,EUR,False,True,https://es.wallapop.com/item/botas-de-montana-numero-40-1091764917,Madrid
nzx480r8d5j2,p8j3wq4dl2z9,ADIDAS METALBONE 3.4 HRD,"Palas nueva a estrenar con precintos y envío Contrareembolso 
Tb pagos por Bizum 

Somos distribuidores multimarca con mas de 20 años de experiencia en la venta de productos de padel, si necesita asesoramiento consultenos y le ayudaremos a elegir su mejor opcion. 

-Todas nuestras palas tiene 6 meses de garantia que en tal caso tramitamos nosotros con las marcas. 


-El envio se realiza por mensajeria urgente 24h y puedes comprobar el material antes de pagarlo para verificar su autenticidad y estado.

SOLO HACEMOS ENVÍOS.
No entregamos en mano 

Mire nuestras valoraciones de los clientes satisfechos.
100% confianza  ","[{'id': 12579, 'name': 'Sports & leisure', 'icon': 'ball'}, {'id': 10108, 'name': 'Tennis & paddle tennis', 'icon': None}]",269.0,EUR,False,True,https://es.wallapop.com/item/adidas-metalbone-3-4-hrd-1076386754,Madrid
pzp2e97709j3,v9jd4vo194jk,"Pack de comunes, infrecuentes y caja mtg","Pack de comunes e infrecuentes de unas 500 cartas +pack consistente en unas 300 cartas comunes, 200 infrecuentes y 20 raras, además de algunas fichas y cartas de arte.","[{'id': 12579, 'name': 'Sports & leisure', 'icon': 'ball'}, {'id': 10100, 'name': 'Recreational & board games', 'icon': None}]",15.0,EUR,True,True,https://es.wallapop.com/item/pack-de-comunes-infrecuentes-y-caja-mtg-1091701898,Madrid
8z8k31wl41z3,p61o7ro94gj5,Pantalón deportivo niña Fila,Pantalón corto niña Fila. Talla 12 años. En perfecto estado.,"[{'id': 12579, 'name': 'Sports & leisure', 'icon': 'ball'}]",6.0,EUR,False,True,https://es.wallapop.com/item/pantalon-deportivo-nina-fila-1091661794,Madrid
w674od4r086x,xzo8l2r5d569,Caballete antiguo para acuarela,"Caballete antiguo para acuarela. Fabricación inglesa. En roble macizo. Principios de siglo XX. Completamente plegable, incluye un compartimento para material. La lona, original, presente el desgaste propio de su edad. Una auténtica rareza muy dificil de encontrar. Hago envíos.","[{'id': 12579, 'name': 'Sports & leisure', 'icon': 'ball'}, {'id': 10101, 'name': 'Crafts Arts & crafts', 'icon': None}]",300.0,EUR,False,False,https://es.wallapop.com/item/caballete-antiguo-para-acuarela-1091618376,Madrid
qjw4wexgxkzo,mznlwrkvrkjn,Babolat viper Juan Lebron 2025,"Babolat Viper 2025.

Pala con cuatro partidos de uso, esteticamente perfecta, solo que tiene un par de roces que no se llegan a ver y la pala funciona perfectamente.

❌PRECIO FIJO.
❌NO CAMBIO.","[{'id': 12579, 'name': 'Sports & leisure', 'icon': 'ball'}, {'id': 10108, 'name': 'Tennis & paddle tennis', 'icon': None}]",245.0,EUR,False,True,https://es.wallapop.com/item/babolat-viper-juan-lebron-2025-1091523429,Madrid
ejk834201qjx,v9jd4vo194jk,Cartas Magic the Gathering,"5 Packs, cada uno de ellos de 300 cartas Magic comunes, 200 infrecuentes y 20 raras, además de cartas de arte y fichas.
De diversas colecciones. El precio es por los 5 packs conjuntamente.","[{'id': 12579, 'name': 'Sports & leisure', 'icon': 'ball'}, {'id': 10100, 'name': 'Recreational & board games', 'icon': None}]",45.0,EUR,True,True,https://es.wallapop.com/item/cartas-magic-the-gathering-1091551671,Madrid
pzp2e982elj3,v9jd4vo194jk,Cartas raras de One Piece,"Más de 120 cartas raras de OP, de los 6 colores. La mayoría son de OP01-OP06.
Hay 3 disponibles.","[{'id': 12579, 'name': 'Sports & leisure', 'icon': 'ball'}, {'id': 10100, 'name': 'Recreational & board games', 'icon': None}]",10.0,EUR,False,True,https://es.wallapop.com/item/cartas-raras-de-one-piece-1091546350,Madrid
36e14qllwnjd,4z4vyxeelrzy,Polar bordado Bodeguero,"Somos tienda presencial en Jaén y online, todas las tallas y colores disponibles. Envíos por solo 3.95€ y gratuitos a partir de 69€. También enviamos a Canarias, Baleares, Ceuta y Melilla. Miquico somos una tienda online y presencial especializada en artículos personalizados. En nuestro perfil podrás encontrar algunos de nuestros productos y temas.  
¡Pregúntanos por el tuyo!","[{'id': 12579, 'name': 'Sports & leisure', 'icon': 'ball'}]",35.95,EUR,False,True,https://es.wallapop.com/item/polar-bordado-bodeguero-1090835763,Madrid
pzp2ovo199j3,4z4yoyd8lmzy,Esquis ,"esquis polivalentes, fijaciones y bastones ","[{'id': 12579, 'name': 'Sports & leisure', 'icon': 'ball'}, {'id': 10102, 'name': 'Mountain & ski', 'icon': None}]",40.0,EUR,False,True,https://es.wallapop.com/item/esquis-1090770674,Madrid
0j242m5wxezy,4z4vyxeelrzy,Polar bordado Bretón,"Somos tienda presencial en Jaén y online, todas las tallas y colores disponibles. Envíos por solo 3.95€ y gratuitos a partir de 69€. También enviamos a Canarias, Baleares, Ceuta y Melilla. Miquico somos una tienda online y presencial especializada en artículos personalizados. En nuestro perfil podrás encontrar algunos de nuestros productos y temas.  
¡Pregúntanos por el tuyo!","[{'id': 12579, 'name': 'Sports & leisure', 'icon': 'ball'}]",35.95,EUR,False,True,https://es.wallapop.com/item/polar-bordado-breton-1090825211,Madrid
qzmex25np1jv,4z4vyxeelrzy,Polar bordado Perdices,"Somos tienda presencial en Jaén y online, todas las tallas y colores disponibles. Envíos por solo 3.95€ y gratuitos a partir de 69€. También enviamos a Canarias, Baleares, Ceuta y Melilla. Miquico somos una tienda online y presencial especializada en artículos personalizados. En nuestro perfil podrás encontrar algunos de nuestros productos y temas. 
¡Pregúntanos por el tuyo!","[{'id': 12579, 'name': 'Sports & leisure', 'icon': 'ball'}]",35.95,EUR,False,True,https://es.wallapop.com/item/polar-bordado-perdices-1090816932,Madrid
qzmex2klmgjv,4z4vyxeelrzy,Polar bordado Jabalí,"Somos tienda presencial en Jaén y online, todas las tallas y colores disponibles. Envíos por solo 3.95€ y gratuitos a partir de 69€. También enviamos a Canarias, Baleares, Ceuta y Melilla. Miquico somos una tienda online y presencial especializada en artículos personalizados. En nuestro perfil podrás encontrar algunos de nuestros productos y temas.  ¡Pregúntanos por el tuyo!","[{'id': 12579, 'name': 'Sports & leisure', 'icon': 'ball'}]",35.95,EUR,False,True,https://es.wallapop.com/item/polar-bordado-jabali-1090808208,Madrid
8j34dd52w169,v6g41drwx76e,Chaqueta Atletico de Madrid,"preciosa chaqueta atletico madrid años 90. nueva a estrenar
camiseta atletico de madrid","[{'id': 12579, 'name': 'Sports & leisure', 'icon': 'ball'}, {'id': 10098, 'name': 'Soccer', 'icon': None}]",47.0,EUR,False,True,https://es.wallapop.com/item/chaqueta-atletico-de-madrid-1088342058,Madrid
nzx48wmpn7j2,p8j3wq4dl2z9,ADIDAS METALBONE CARBON CTRL 3.4 2025,ADIDAS METALBONE CARBON CTRL 3.4 2025,"[{'id': 12579, 'name': 'Sports & leisure', 'icon': 'ball'}, {'id': 10108, 'name': 'Tennis & paddle tennis', 'icon': None}]",175.0,EUR,True,True,https://es.wallapop.com/item/adidas-metalbone-carbon-ctrl-3-4-2025-1077755154,Madrid
nzx4n3gxr1j2,vjrk71d4mxzk,Funda tubo visor cuero,"Se vende funda de tubo para visor de cuero, forrado por dentro. Artesanal. Se vende por no usar, solo practico rececho y siempre dejo el visor montado. Es para visores de montería o campana de 42 máximo.
En perfecto estado, gran calidad.
Se entrega en mano en Madrid o Zamora.","[{'id': 12579, 'name': 'Sports & leisure', 'icon': 'ball'}, {'id': 10105, 'name': 'Others sports', 'icon': None}]",55.0,EUR,False,True,https://es.wallapop.com/item/funda-tubo-visor-cuero-1090737406,Madrid
8j34d3rx1769,pzp9kp58l463,HIDDEN GAMES EL CRIMEN DE QUINTANA,"Vendo el juego de mesa de  HIDDEN GAMES (Escena del crimen) ""El crimen de Quintana de la Matanza"". Como se puede apreciar en las imágenes, los documentos no han sido subrayados, escritos ni dañados. Fotocopiamos las pistas para no dañarlas. Están todas, no falta nada. En la última foto se aprecia que lo compré y su coste actual. El juego está muy bien, eso sí, no se resuelve en el tiempo que marcan (son muchísimas pistas que analizar, te entretiene mucho). 
-1 a 6 jugadores
-A partir de 14 años.
No hago intercambios ni regateos. 
Solo hago envíos. ","[{'id': 12579, 'name': 'Sports & leisure', 'icon': 'ball'}, {'id': 10100, 'name': 'Recreational & board games', 'icon': None}]",13.0,EUR,True,True,https://es.wallapop.com/item/hidden-games-el-crimen-de-quintana-1090674310,Madrid
