id,user_id,title,description,taxonomy,amount,currency,reservado,envio,url_completa,ciudad
mzn21x5782zn,8z81k0m7d163,Aprilia RS660 versión A2 2023,"24.100kms
Mantenimientos en casa oficial segun manual, y cambios de aceite cada 5.000 kms. Tengo todas las facturas.
Tiene garantía oficial
**Se pueden enviar más fotos si es necesario**

Extras:
Escape SC crt titanio
Espejos Rizoma
Protector Basculante entero y Cadena de carbono
Protectores de maneras
Protectores de Basculante
Protector depósito carbono
Colín monoplaza original Aprilia
Cupula doble burbuja Puig
Intermitentes dinámicos
Posibilidad de entregae con todo original.

Se ha cuidado mucho la moto, duerme en garaje y nunca ha pisado circuito.
**NO SE VENDEN PIEZAS POR SEPARADO**","[{'id': 14000, 'name': 'Motorbike', 'icon': 'motorbike'}]",9900,EUR,False,False,https://es.wallapop.com/item/aprilia-rs660-version-a2-1087845797,Madrid
xzo248odk569,3zlg82m32njx,KAWASAKI Z 900 A2,"
          KAWASAKI Z 900 A2
    - Año: 2021
    - Kilómetros: 24691
    - Garantía: 1 año
    - Precio: 7199 (no negociable)
    - Tipo: NAKED
    - Carnet: A / A2

    // Entregamos la moto totalmente revisada y con garantía 1 año. Opción a entregar tu moto como parte de pago. Opción a financiar el importe deseado. Cambio de nombre no incluido en el precio.

    Mundimoto, empresa de compra / venta de motos con más de 1500 motos en stock y +10.000 ventas anuales.

          *La moto ESTÁ en las instalaciones de BARCELONA*","[{'id': 14000, 'name': 'Motorbike', 'icon': 'motorbike'}]",7199,EUR,False,False,https://es.wallapop.com/item/kawasaki-z-900-a2-1091714709,Madrid
pzp2e93wv5j3,3zlg82m32njx,HARLEY DAVIDSON SPORTSTER 1200 58CV,"
          HARLEY DAVIDSON SPORTSTER 1200 58CV
    - Año: 2007
    - Kilómetros: 14362
    - Garantía: 1 año
    - Precio: 6999 (no negociable)
    - Tipo: CUSTOM
    - Carnet: A / A2

    // Entregamos la moto totalmente revisada y con garantía 1 año. Opción a entregar tu moto como parte de pago. Opción a financiar el importe deseado. Cambio de nombre no incluido en el precio.

    Mundimoto, empresa de compra / venta de motos con más de 1500 motos en stock y +10.000 ventas anuales.

          *La moto ESTÁ en las instalaciones de BARCELONA*","[{'id': 14000, 'name': 'Motorbike', 'icon': 'motorbike'}]",6999,EUR,False,False,https://es.wallapop.com/item/harley-davidson-sportster-1200-58cv-1091714674,Madrid
vjrq5d4r94zk,lqzmqe3mnojv,Indian scout bobber ,"Año 2024, 1300 km, nueva, a estrenar, revisión de los 1000km en la casa, tubo de escape Dr. Jekyll & Mr. Hyde  controlado eléctricamente. Vendo por motivos personales.","[{'id': 14000, 'name': 'Motorbike', 'icon': 'motorbike'}]",16500,EUR,False,False,https://es.wallapop.com/item/indian-scout-bobber-1091642191,Madrid
pzp2eyk0p4j3,qzm4ed7g5lzv,KEEWAY RKF 125,"
          KEEWAY RKF 125
    - Año: 2023
    - Kilómetros: 3416
    - Garantía: 1 año
    - Precio: 2499 (no negociable)
    - Tipo: NAKED
    - Carnet: A1

    // Entregamos la moto totalmente revisada y con garantía 1 año. Opción a entregar tu moto como parte de pago. Opción a financiar el importe deseado. Cambio de nombre no incluido en el precio.

    Mundimoto, empresa de compra / venta de motos con más de 1500 motos en stock y +10.000 ventas anuales.

          *La moto ESTÁ en las instalaciones de BARCELONA*","[{'id': 14000, 'name': 'Motorbike', 'icon': 'motorbike'}]",2499,EUR,False,False,https://es.wallapop.com/item/keeway-rkf-125-1091305650,Madrid
v6ggx0pyl76e,e65y38dvwgjo,HONDA CB 125 R ABS,"
          HONDA CB 125 R ABS
    - Año: 2024
    - Kilómetros: 4774
    - Garantía: 1 año
    - Precio: 4199 (no negociable)
    - Tipo: NAKED
    - Carnet: A1

    // Entregamos la moto totalmente revisada y con garantía 1 año. Opción a entregar tu moto como parte de pago. Opción a financiar el importe deseado. Cambio de nombre no incluido en el precio.

    Mundimoto, empresa de compra / venta de motos con más de 1500 motos en stock y +10.000 ventas anuales.

          *La moto ESTÁ en las instalaciones de BARCELONA*","[{'id': 14000, 'name': 'Motorbike', 'icon': 'motorbike'}]",4199,EUR,False,False,https://es.wallapop.com/item/honda-cb-125-r-abs-1091305640,Madrid
w674o3v00w6x,qzm4ed7g5lzv,MACBOR EIGHT MILE 125,"
          MACBOR EIGHT MILE 125
    - Año: 2021
    - Kilómetros: 4339
    - Garantía: 1 año
    - Precio: 2199 (no negociable)
    - Tipo: NAKED
    - Carnet: A1

    // Entregamos la moto totalmente revisada y con garantía 1 año. Opción a entregar tu moto como parte de pago. Opción a financiar el importe deseado. Cambio de nombre no incluido en el precio.

    Mundimoto, empresa de compra / venta de motos con más de 1500 motos en stock y +10.000 ventas anuales.

          *La moto ESTÁ en las instalaciones de BARCELONA*","[{'id': 14000, 'name': 'Motorbike', 'icon': 'motorbike'}]",2199,EUR,False,False,https://es.wallapop.com/item/macbor-eight-mile-125-1091305628,Madrid
wzy41lrkkvz5,e65y38dvwgjo,GAS GAS SM 700,"
          GAS GAS SM 700
    - Año: 2023
    - Kilómetros: 5906
    - Garantía: 1 año
    - Precio: 7499 (no negociable)
    - Tipo: SUPERMOTARD
    - Carnet: A / A2

    // Entregamos la moto totalmente revisada y con garantía 1 año. Opción a entregar tu moto como parte de pago. Opción a financiar el importe deseado. Cambio de nombre no incluido en el precio.

    Mundimoto, empresa de compra / venta de motos con más de 1500 motos en stock y +10.000 ventas anuales.

          *La moto ESTÁ en las instalaciones de BARCELONA*","[{'id': 14000, 'name': 'Motorbike', 'icon': 'motorbike'}]",7499,EUR,False,False,https://es.wallapop.com/item/gas-gas-sm-700-1091305620,Madrid
wzy41lrkwxz5,e65y38dvwgjo,KAWASAKI Z 800,"
          KAWASAKI Z 800
    - Año: 2016
    - Kilómetros: 14508
    - Garantía: 1 año
    - Precio: 5799 (no negociable)
    - Tipo: NAKED
    - Carnet: A / A2

    // Entregamos la moto totalmente revisada y con garantía 1 año. Opción a entregar tu moto como parte de pago. Opción a financiar el importe deseado. Cambio de nombre no incluido en el precio.

    Mundimoto, empresa de compra / venta de motos con más de 1500 motos en stock y +10.000 ventas anuales.

          *La moto ESTÁ en las instalaciones de BARCELONA*","[{'id': 14000, 'name': 'Motorbike', 'icon': 'motorbike'}]",5799,EUR,False,False,https://es.wallapop.com/item/kawasaki-z-800-1091305592,Madrid
nz04pg8eo3jo,e65y38dvwgjo,YAMAHA MT 09 SP,"
          YAMAHA MT 09 SP
    - Año: 2018
    - Kilómetros: 37559
    - Garantía: 1 año
    - Precio: 8399 (no negociable)
    - Tipo: NAKED
    - Carnet: A

    // Entregamos la moto totalmente revisada y con garantía 1 año. Opción a entregar tu moto como parte de pago. Opción a financiar el importe deseado. Cambio de nombre no incluido en el precio.

    Mundimoto, empresa de compra / venta de motos con más de 1500 motos en stock y +10.000 ventas anuales.

          *La moto ESTÁ en las instalaciones de BARCELONA*","[{'id': 14000, 'name': 'Motorbike', 'icon': 'motorbike'}]",8399,EUR,False,False,https://es.wallapop.com/item/yamaha-mt-09-sp-1091305551,Madrid
