id,user_id,title,description,taxonomy,amount,currency,reservado,envio,url_completa,ciudad
36e14q989yjd,8j3m04pr9269,MUDANZAS en Madrid ," ☎️ [ 692-845-484 ] Hacemos mudanzas  puerta a puerta  Montaje de muebles. Cuidamos bien sus muebles. Traslados paqueteria, habitaciones, casas, pisos, apartamentos. Mudanzas baratas - económicas con profesionales. Vaciados de pisos locales, trasteros, garajes pregunta por la Oferta por WhatsApp o telefono 692 84 54 84","[{'id': 13200, 'name': 'Services', 'icon': 'toolbox'}, {'id': 10192, 'name': 'Moving & transport', 'icon': None}, {'id': 10391, 'name': 'Moving services', 'icon': None}]",99.0,EUR,False,False,https://es.wallapop.com/item/mudanzas-madrid-1090551763,Madrid
x6qmg9kpvojy,w67dvg0g8w6x,"INGLÉS ATENCIÓN PÚBLICO (HOSTELERÍA, AVIACIÓN)","Soy profesor bilingüe con larga experiencia dando clases de inglés de negocios en distintos sectores (aviación, hoteles, banca privada, escuelas de negocios, retail, marcas de lujo, agencias de publicidad y comunicación). No uso libros ni sigo métodos estandarizados (que es lo que hacen las academias) para que no pierdas el tiempo. Todo el material lo preparo específicamente para cada alumno, con énfasis siempre en conversación. Para tripulaciones de vuelo, atención al público, entrevistas de trabajo, etc. En persona, a domicilio. Precio a convenir.

ZONA CANILLAS / MAR DE CRISTAL / BARAJAS / ALONSO MARTÍNEZ / GOYA","[{'id': 13200, 'name': 'Services', 'icon': 'toolbox'}, {'id': 10190, 'name': 'Classes & lessons', 'icon': None}, {'id': 10385, 'name': 'Language lessons', 'icon': None}]",0.0,EUR,False,False,https://es.wallapop.com/item/ingles-atencion-publico-hosteleria-aviacion-1091900918,Madrid
qzmed9drvgjv,nz0mm210xdjo,Limpieza,"Estas buscando un servicio profesional y que te de 100% calidad. Nosotros contamos con todas las características somos un equipo de limpieza capacitado en todo todo tipo de limpieza integral, general o a fondo, hacemos limpiezas fin de obra, fin de alquiler, mantenimientos, limpiezas a fondo, limpiezas de oficinas, locales comerciales, contamos con servicios de limpieza de cristales y limpieza de tapicería. Contactanos y pide tu presupuesto. 641 63 24 51 llamanos hoy !!","[{'id': 13200, 'name': 'Services', 'icon': 'toolbox'}, {'id': 10195, 'name': 'Cleaning services', 'icon': None}]",0.0,EUR,False,False,https://es.wallapop.com/item/limpieza-1091458608,Madrid
xzo24l785569,nzx5ddggwm62,Membresía ciencias ,Membresía para el soporte de las ciencias y las claves de estudio y desarrollo,"[{'id': 13200, 'name': 'Services', 'icon': 'toolbox'}, {'id': 10190, 'name': 'Classes & lessons', 'icon': None}, {'id': 10387, 'name': 'Teachers & school support', 'icon': None}]",30.0,EUR,False,False,https://es.wallapop.com/item/membresia-ciencias-1091337357,Madrid
v6gg5dwq2n6e,8j3y2yoon269,Albañil . Reformas integrales . Español ,"Reformas y obra nueva . Fontaneria , pintura , electricidad.  ( El mejor asesoramiento para tu reforma). Mas de 10 años de expencia. 
tlf: 614135073","[{'id': 13200, 'name': 'Services', 'icon': 'toolbox'}, {'id': 10196, 'name': 'Housework services', 'icon': None}, {'id': 10393, 'name': 'Handyperson', 'icon': None}]",1.0,EUR,False,False,https://es.wallapop.com/item/albanil-reformas-integrales-1090473516,Madrid
0j242m9xwnzy,qzm4y5vdwlzv,mudanzas  en Madrid ,"TELÉFONO: [ 692- 84- 54- 84 ] Empresa de mudanzas en Madrid  Mudanzas Transportes de muebles y mercancías  Transportes paletizado  envío   mudanzas  de oficinas  pisos  naves industriales locales 
info@mudanzasnacionalesinternacionale.es","[{'id': 13200, 'name': 'Services', 'icon': 'toolbox'}, {'id': 10192, 'name': 'Moving & transport', 'icon': None}, {'id': 10391, 'name': 'Moving services', 'icon': None}]",99.0,EUR,False,False,https://es.wallapop.com/item/mudanzas-en-madrid-1090558111,Madrid
x6qm3pm0enjy,pj9ymx48306e,Clases Online de Piano todos los estilos,"Sólo clases online

¡1era clase/entrevista gratis! (Opcional)

¡Quiero ayudarte a mejorar tus habilidades pianísticas! 

¡Este es tu momento para empezar a interpretar la música que más te gusta!


Espero tu mensaje :) 
","[{'id': 13200, 'name': 'Services', 'icon': 'toolbox'}, {'id': 10190, 'name': 'Classes & lessons', 'icon': None}, {'id': 10387, 'name': 'Teachers & school support', 'icon': None}]",18.0,EUR,False,False,https://es.wallapop.com/item/clases-online-de-piano-todos-los-estilos-1089965242,Madrid
pzp2ope9qlj3,pj9y4x77406e,BARANDAS DE ACERO Y CRISTAL FABRICANTE ,"Llevamos a cabo una amplia gama de servicios relacionados con cristalería y PVC, que incluyen la instalación de barandas en Aluminio, cristal y Acero Inoxidable. También ofrecemos servicios de instalación de Mamparas de Baño y Ducha, ventanas, cierres, mosquiteras, puertas, cortinas de cristal y persianas. No dude en solicitar un presupuesto sin ningún compromiso.","[{'id': 13200, 'name': 'Services', 'icon': 'toolbox'}]",1.0,EUR,False,False,https://es.wallapop.com/item/barandas-de-acero-y-cristal-fabricante-1089788926,Madrid
x6qmo08xn5jy,vjrd185knl6k,Tecnico informatico a domicilio,"Técnico informatico economico a domicilio, montaje de ordenadores, instalación de software, resolucion de incidencias, reparaciones y cambio de componentes. Me desplazo a cuanquier parte de la Comunidad de Madrid.

Reseñas de otros clientes en mi perfil

TIf: 614 37 79 97

Correo: a.ionda.dev@gmail.com

Servicios disponibles:
Soporte en remoto y a domicilio.
-Limpieza de virus
-Limpieza componentes, pasta térmica, SSD.
-Formateo disco, instalación drivers, programas software, recuperacion de datos
-Instalación de Windows 10 y 11, Office+activación y antivirus.
-Solución lentitud, pantallazos azules y otros fallos.
-Presupuestos y montajes de equipos nuevos.
No dudes en contactar conmigo para cualquier cosa!!","[{'id': 13200, 'name': 'Services', 'icon': 'toolbox'}, {'id': 10194, 'name': 'Repairs', 'icon': None}]",1.0,EUR,False,False,https://es.wallapop.com/item/tecnico-informatico-a-domicilio-1073839942,Madrid
9jdk9l93e26k,pj9y4x77406e,⭐⭐ CRISTALERO BARATO ECONOMICO ,"Ofrecemos servicios de instalación, montaje y reparación de cristales (climalit, tapas de mesa, escaparates, espejos, cristales templados, decorados, laminados), cerramientos en aluminio, mamparas de baño y PUERTAS PARA MASCOTAS. También realizamos reparaciones en cierres y ventanas de aluminio, cambios de cerraduras, pomos, tiradores, manivelas, porterillos automáticos, mosquiteras, persianas y muelles cierra puertas. Además, tenemos amplia experiencia en bricolaje, incluyendo instalación de estores, cortinas, venecianas, lámparas, ventiladores, cuadros, y reparación de muebles de cocina y baño. Ofrecemos presupuesto sin compromiso","[{'id': 13200, 'name': 'Services', 'icon': 'toolbox'}]",1.0,EUR,False,False,https://es.wallapop.com/item/cristalero-barato-economico-1089785884,Madrid
