id,user_id,title,description,taxonomy,amount,currency,reservado,envio,url_completa,ciudad
0j24d30qqezy,qjwy7dk1wqzo,Fender Mod Shop Stratocaster USA 2017,"Está en excelente estado, tiene algunas pequeñas marcas en el cuerpo. Mira las fotos para más detalles.
¡Solo recogida en persona! Estoy en el centro de Madrid!
Cuerpo: Fresno
Color: Blanco translúcido
Acabado del cuerpo: Uretano brillante
Mástil: Arce
Acabado del mástil: Uretano satinado en la parte trasera
Perfil del mástil: Forma “C” moderna
Diapasón: Palo de rosa
Radio: 9.5
Número de trastes: 22
Tipo de trastes: Medium Jumbo
Pastillas del mástil: Noiseless Vintage Strat
Hardware: Dorado
Clavijeros: Deluxe cerrados con bloqueo
Puente: Trémolo sincronizado de dos puntos, con selletas vintage
Incluye stuche: Estuche moldeado Fender","[{'id': 12463, 'name': 'Movies, books & music', 'icon': 'bookshelf'}, {'id': 24001, 'name': 'Music', 'icon': None}, {'id': 10063, 'name': 'Musical Instruments', 'icon': None}, {'id': 10243, 'name': 'String instruments', 'icon': None}, {'id': 10242, 'name': 'Guitars', 'icon': None}]",1200,EUR,False,False,https://es.wallapop.com/item/fender-mod-shop-stratocaster-usa-2017-1076590883,Madrid
mzn2kly02gzn,9nz0nrxe0d6o,Obras escogidas. III Tomos. V. I. Lenin.,"Obras escogidas. III Tomos. V. I. Lenin.
Editorial Progreso. Moscú-1961. Impreso en Yugoslavia. Tapa dura en telade editorial ilustrada con sobrecubierta. I-919, II-851, III-879 pp. 22 x 15 cm. Sin subrayados ni anotaciones. Fotos de los ejemplares a la venta.","[{'id': 12463, 'name': 'Movies, books & music', 'icon': 'bookshelf'}, {'id': 24003, 'name': 'Books, comics & magazines', 'icon': None}, {'id': 10064, 'name': 'Books', 'icon': None}, {'id': 10250, 'name': 'Non-fiction', 'icon': None}, {'id': 24089, 'name': 'Other (non-fiction)', 'icon': None}]",75,EUR,False,True,https://es.wallapop.com/item/obras-escogidas-iii-tomos-v-i-lenin-1091838649,Madrid
v6ggx4q8r26e,mznl2pp84yjn,Plantas carnívoras de Charles Darwin,biblioteca Darwin de la Editorial Laetoli. Primera edición,"[{'id': 12463, 'name': 'Movies, books & music', 'icon': 'bookshelf'}, {'id': 24003, 'name': 'Books, comics & magazines', 'icon': None}, {'id': 10064, 'name': 'Books', 'icon': None}, {'id': 10250, 'name': 'Non-fiction', 'icon': None}, {'id': 24086, 'name': 'Science and nature', 'icon': None}]",22,EUR,False,True,https://es.wallapop.com/item/plantas-carnivoras-de-charles-darwin-1091763988,Madrid
pzp2eyw3r5j3,w6735d5ry8jx,Cartel original película Átame,"Cartel original de la película Átame de Pedro Almodóvar, enmarcado y listo para colgar. (Las manchas blancas que aparecen en la foto son reflejos de luz)
","[{'id': 12463, 'name': 'Movies, books & music', 'icon': 'bookshelf'}, {'id': 24002, 'name': 'Movies & series', 'icon': None}, {'id': 10068, 'name': 'Movie & TV posters & merchandising', 'icon': None}]",50,EUR,False,True,https://es.wallapop.com/item/cartel-original-pelicula-atame-1091342698,Madrid
3zl8rrwk846x,qjwy7dk1wqzo,Joan Cashimira M51 Guitarra Flamenca,"Joan Cashimira Modelo 51 Guitarra Flamenca
Incluye funda rígida Gator en perfecto estado.
Solo recoger en Madrid centro.
CARACTERISTICAS

Guitarra flamenca 
Tapa maciza de Abeto alemán
Aros y fondo laminados de Sicómoro
Roseta incrustada
Mango de Samanguila
Diapasón de Palosanto
Perfiles pintados
Cejilla y cejuela de Plástico
Incluye golpeador transparente","[{'id': 12463, 'name': 'Movies, books & music', 'icon': 'bookshelf'}, {'id': 24001, 'name': 'Music', 'icon': None}, {'id': 10063, 'name': 'Musical Instruments', 'icon': None}, {'id': 10243, 'name': 'String instruments', 'icon': None}, {'id': 10242, 'name': 'Guitars', 'icon': None}]",200,EUR,False,False,https://es.wallapop.com/item/joan-cashimira-m51-guitarra-flamenca-1080156793,Madrid
e6581ml3ok6o,36ewdy0m3y6d,"Harrison, Medicina Interna","2 Libros Harrison, Principios De Medicina Interna","[{'id': 12463, 'name': 'Movies, books & music', 'icon': 'bookshelf'}, {'id': 24003, 'name': 'Books, comics & magazines', 'icon': None}, {'id': 10064, 'name': 'Books', 'icon': None}, {'id': 10250, 'name': 'Non-fiction', 'icon': None}, {'id': 24083, 'name': 'Professions and specialties', 'icon': None}]",40,EUR,False,True,https://es.wallapop.com/item/harrison-medicina-interna-1091075200,Madrid
nzx4xdg33ej2,36ewdy0m3y6d,Libro De Medicina Interna,Libro De Medicina Interna,"[{'id': 12463, 'name': 'Movies, books & music', 'icon': 'bookshelf'}, {'id': 24003, 'name': 'Books, comics & magazines', 'icon': None}, {'id': 10064, 'name': 'Books', 'icon': None}, {'id': 10250, 'name': 'Non-fiction', 'icon': None}, {'id': 24083, 'name': 'Professions and specialties', 'icon': None}]",20,EUR,False,True,https://es.wallapop.com/item/libro-de-medicina-interna-1091073006,Madrid
nz04p915p7jo,36ewdy0m3y6d, El Sistema Nervioso Central Humano,2 Libros El Sistema Nervioso Central Humano,"[{'id': 12463, 'name': 'Movies, books & music', 'icon': 'bookshelf'}, {'id': 24003, 'name': 'Books, comics & magazines', 'icon': None}, {'id': 10064, 'name': 'Books', 'icon': None}, {'id': 10250, 'name': 'Non-fiction', 'icon': None}, {'id': 24083, 'name': 'Professions and specialties', 'icon': None}]",60,EUR,False,True,https://es.wallapop.com/item/el-sistema-nervioso-central-humano-1091071727,Madrid
wzy4pkwwypz5,qjwy7dk1wqzo,1976 Gibson Les Paul Custom - Natural ,"1976 Les Paul Custom - totalmente original...Excepto por el cableado personalizado estilo años 50 de Emerson-Incluye:Potenciómetros Emerson Condensadores Emerson Bumblebee de papel en aceite (1 de 0.022uf para el puente y 1 de 0.015uf para el mástil)Los potenciómetros y condensadores originales están incluidos, por si quieres devolverla a su configuración original.
Además, se le realizó un refreteado con trastes jumbo por JEC Luthier en Madrid: ¡toca como un sueño!
En buen estado, con algo de desgaste leve en la parte trasera y un desgaste natural muy atractivo en el hardware dorado. Tiene casi 50 años!Incluye un estuche no original","[{'id': 12463, 'name': 'Movies, books & music', 'icon': 'bookshelf'}, {'id': 24001, 'name': 'Music', 'icon': None}, {'id': 10063, 'name': 'Musical Instruments', 'icon': None}, {'id': 10243, 'name': 'String instruments', 'icon': None}, {'id': 10242, 'name': 'Guitars', 'icon': None}]",4500,EUR,False,False,https://es.wallapop.com/item/1976-gibson-les-paul-custom-natural-1089479992,Madrid
mzn2k47dekzn,36ewdy0m3y6d,Libro de Neurorradiologia,Libro de Neurorradiologia,"[{'id': 12463, 'name': 'Movies, books & music', 'icon': 'bookshelf'}, {'id': 24003, 'name': 'Books, comics & magazines', 'icon': None}, {'id': 10064, 'name': 'Books', 'icon': None}, {'id': 10250, 'name': 'Non-fiction', 'icon': None}, {'id': 24083, 'name': 'Professions and specialties', 'icon': None}]",20,EUR,False,True,https://es.wallapop.com/item/libro-de-neurorradiologia-1091069825,Madrid
