id,user_id,title,description,taxonomy,amount,currency,reservado,envio,url_completa,ciudad
nz04o7v4x7jo,8z8qmxx7voz3,Figura Figuarts Zero Sukuna,"Figura de Sukuna, de Fitguars Zero , anime jujutsu kaisen, medidas 13 cm aprox","[{'id': 12485, 'name': 'Other', 'icon': 'ghost'}]",89.95,EUR,False,True,https://es.wallapop.com/item/figura-figuarts-zero-sukuna-1090592375,Madrid
pzp2e11e5kj3,pzp925mgmm63,viendo los 2 por 65 euros ,perfecto 👌722655568,"[{'id': 12485, 'name': 'Other', 'icon': 'ghost'}]",65.0,EUR,False,True,https://es.wallapop.com/item/viendo-los-2-por-65-euros-1091926326,Madrid
3zl82g5g4p6x,e65yv1oy0kjo,FOCO LED BARRAS HERVICIDAS,"foco led con lente azul se utiliza para proyectar la luz sobre las boquillas de barras de tratamiento agricola para ir verificando que todas las boquillas arrojan producto sobre el terreno, 18w de potencia funciona a 12v y 24v muy practico, enviamos a toda españa contarembolso atendemos whattsap telefono email los 365 dias al año. ademas contamos con todo tipo de focos led y barras 18w 27w 48w 72w 96w 120w 180w 240w 300w. se envia segovia la coruña leon granada asturias burgos huesca palencia valladolidetc","[{'id': 12485, 'name': 'Other', 'icon': 'ghost'}]",30.0,EUR,False,True,https://es.wallapop.com/item/foco-led-barras-hervicidas-1091696293,Madrid
nz04pmd9yrjo,e65yv1oy0kjo,FOCO TRABAJO REDONDO 48W 12-24V REDONDO.,"NUEVOS, Foco de trabajo, redondo de 48w, de alta capacidad, 16 led x 3w, Luz de 6000K-6500K, Admite trabajar con baterias de 12v a 24v, estructura de aluminio. Foco led 48w Proporciona visibilidad a gran distancia y a corta distancia, Foco 42w es fuerte tiene IP67, con lo que es a prueba de polvo y lluvia, Para ser utilizada en pesca, camiones, tractores, camiones, gruas, maquinaria agricola, cosechadoras, excavadoras, 4 x 4 , rally, todoterrenos","[{'id': 12485, 'name': 'Other', 'icon': 'ghost'}]",15.0,EUR,False,True,https://es.wallapop.com/item/foco-trabajo-redondo-48w-12-24v-redondo-1091695327,Madrid
wzy408x572z5,mznlgdq2x2jn,FREIDORA A GAS MOD: SV-98FRG21VL,"Dimensiones: 800x900x870 mm.
Capacidad de la cuba: 21+21 L
Potencia total: 38 Kw
QUEMADORES FUERA DE LA CUBA.
EL PRECIO ES + IVA ","[{'id': 12485, 'name': 'Other', 'icon': 'ghost'}]",2998.0,EUR,False,False,https://es.wallapop.com/item/freidora-a-gas-mod-sv-98frg21vl-1072081244,Madrid
pj9m2yr81m6e,e65yv1oy0kjo,FOCO LED CUADRADO,"foco led 16 led 48w 4600 lumenes ideales para tractores medidas 11x11 funcionan a 12v y 24v resistentes agua polvo, envios urgentes a toda esp�a contrarembolso atendemos whattsap email telefono. tambien disponemos de 18w 24w 36w 48w 51w 72w 120w 180w 240w 300w valido para pesca del calamar, pesca, camiones, tractores, camiones, gruas, maquinaria agricola, cosechadoras, excavadoras, 4 x 4 , rally, todoterrenos, remolques, camping SUV, AT  hormigoneras, dumper man mercedes daf renault iveco scania volvo astra ebro pegaso deu leilan 6x6 6x4-carrillero de obra-bañeras 2 y 3 ejes-basculantes-volquete8x4 4x46x2-camiones rígidos con grúa o","[{'id': 12485, 'name': 'Other', 'icon': 'ghost'}]",15.0,EUR,False,True,https://es.wallapop.com/item/foco-led-cuadrado-1091695013,Madrid
p6140oex5d65,e65yv1oy0kjo,"FOCO TRABAJO LUZ 27W REDONDO ,","NUEVO Foco trabajo, redondo de 27w, de alta capacidad, 9 led x 3w, Luz de 6000K-6500K, Acepta trabajar con baterias de 12v a 24v, estructura de aluminio. Foco 27 w Da visibilidad a larga distancia y a corta distancia Resistente tiene certificación IP67, con lo que es a prueba de polvo y lluvia, Para ser utilizada en pesca, camiones, tractores, camiones, gruas, maquinaria agricola, cosechadoras, excavadoras, 4 x 4 , rally, todoterrenos, remolques","[{'id': 12485, 'name': 'Other', 'icon': 'ghost'}]",12.0,EUR,False,True,https://es.wallapop.com/item/foco-trabajo-luz-27w-redondo-1091694707,Madrid
8z8k31ro7lz3,e65yv1oy0kjo,FOCO LED 48W,"foco led 16 led 48w 4600 lumenes ideales para tractores medidas 11x11 funcionan a 12v y 24v resistentes agua polvo envios urgentes a toda espa�a contrarembolso atendemos whattsap email telefono. resistente al agua, apto para exteriores, motos, coches, quads, camiones, tractores, cosechadoras, carterpillar, veh�culos y m�quinas de trabajo, disponemos barras de led de 18w, 72W, 120W, 180W, 240w, 300W, disponemos focos redondos cuadrados rectangulares ovalados, Fendt 820 716 818 824 924 936 vario Massey ferguson 6480, 6499 , 7495 , 7480 , 6290 , 7620 , 7624 , 7499 

tercer punto john deere 7920 , 7930 , new holand , valtra , case , cla","[{'id': 12485, 'name': 'Other', 'icon': 'ghost'}]",15.0,EUR,False,True,https://es.wallapop.com/item/foco-led-48w-1091694422,Madrid
xzo21q2n4269,mznlgdq2x2jn,SARTEN FUNDICIÓN CON ALZATINA MOD:599595 SERIE 2,"Voltaje: 400 V
Frecuencia: 50/60 Hz
Fases: 3N
Consumo: 15,2
Dimensiones: 1400x900x900 mm.
Peso: 268 kg.
SE VENDE EN SU ESTADO, ES NUEVA DE EXPO.
EL PRECIO ES + IVA 
","[{'id': 12485, 'name': 'Other', 'icon': 'ghost'}]",2998.0,EUR,False,False,https://es.wallapop.com/item/sarten-fundicion-con-alzatina-mod-599595-serie-2-1072049309,Madrid
v6ggx4kdel6e,e65yv1oy0kjo,foco para tractores de 48w led,"Foco led de 48w de luz blancatanto a 12v como a 24v con carcasa en aluminio y el soporte en acero inoxidable. resistente al agua, valido para tractores (ebro, fendt, massey, john deere, 6910 6920 6810 6820. . . classs, landini, renault, barreiros, todoter renos, cosechadoras, manitou, retroexcavadoras, camiones , quad, todoterreno. . camiones trailer remolques cuenta con 4800lumenes enviamos a toda españa por mrw somos empresa contacte por whassap email o telefono con garantia Jaén granada Madrid Sevilla","[{'id': 12485, 'name': 'Other', 'icon': 'ghost'}]",15.0,EUR,False,True,https://es.wallapop.com/item/foco-para-tractores-de-48w-led-1091694188,Madrid
pj9m2yro3v6e,e65yv1oy0kjo,"LED TRABAJO 18W, 36W, 72W, 120W, 240W. 3",foco led tipo barra de 18w valido tanto a 12w como a 24v Energía del LED: 18W Voltaje: 10-30V DC Nivel impermeable: IP67 Temperatura de color del LED: 6000-6500 k Material de Shell: fundición de aluminio Vida útil: 30000 horas mandamos a toda españa somos distribuidores contamos el mayor stock de españa aceptamos contrarembolos tambien contamos todo tipo de led,"[{'id': 12485, 'name': 'Other', 'icon': 'ghost'}]",10.0,EUR,False,True,https://es.wallapop.com/item/led-trabajo-18w-36w-72w-120w-240w-3-1091693913,Madrid
v6ggx4k9km6e,e65yv1oy0kjo,FOCO TRABAJO 48W 16 LED EXTRAPOTENTE..,"NUEVO Foco trabajo cuadrado de 48w, de alta potencia, 16 led x 3w, Luz de 6000K-6500K, Potente luz ideal para el trabajo. Foco led 48 w Admite trabajar con baterias de 12v a 24v, carcasa de aluminio. Proporciona visibilidad a larga distancia y a corta distancia. Resistente tiene IP67, por lo que es a prueba de polvo y lluvia, Para ser usada en pesca, camiones, tractores, camiones, gruas, maquinaria agricola, cosechadoras, excavadoras, 4 x 4, rally, todoterrenos","[{'id': 12485, 'name': 'Other', 'icon': 'ghost'}]",15.0,EUR,False,True,https://es.wallapop.com/item/foco-trabajo-48w-16-led-extrapotente-1091693616,Madrid
qzmewwm1qxjv,pzp9rv758k63,TEMARIO OPOSICIONES TECNOLOGÍA,"Vendo mi MATERIAL PERSONAL, con el que conseguí una NOTA 8.76 en las oposiciones de TECNOLOGÍA y la PLAZA a la primera. El material, desarrollado íntegramente por mí mismo y adaptado a la LOMLOE, está listo para usarse en el examen. Incluye temas, prácticos, PD y UDs con PowerPoint para facilitar la defensa. ENVÍO MUESTRAS. Aparezco en el BOJA y envío foto de mi DNI para acreditar que soy yo.","[{'id': 12485, 'name': 'Other', 'icon': 'ghost'}]",250.0,EUR,False,True,https://es.wallapop.com/item/temario-oposiciones-tecnologia-1071726880,Madrid
nz04pm2597jo,e65yv1oy0kjo,"Foco trabajo redondo de 48w,","Foco trabajo redondo de 48w, de alta capacidad, 14 led x 3w, Luz de 6000K-6500K, Admite trabajar con baterias de 12v a 24v, carcasa de aluminio. Foco led 42 w Proporciona visibilidad a larga distancia y a corta distancia, Foco 48w es fuerte tiene IP67, por lo que es a prueba de polvo y lluvia, Para ser utilizada en pesca, camiones, tractores, camiones, gruas, maquinaria agricola, cosechadoras, excavadoras, 4 x 4 , rally, todoterrenos, remolques camping","[{'id': 12485, 'name': 'Other', 'icon': 'ghost'}]",15.0,EUR,False,True,https://es.wallapop.com/item/foco-trabajo-redondo-de-48w-1091693399,Madrid
36e17woloqjd,e65yv1oy0kjo,PILOTOS TRASEROS REMOLQUE,"juego de 2 pilotos traseros para camiones, interfaces, remolque, en 24 incluye bombillas listo para sustituir solo vendemosen pareja precio pareja 89 euros enviamos a toda espa�a aceptamos contrarembolso atendemos whattsap enviamos a la rioja teruel huesca palencia asturias badajoz jaen granada etc.","[{'id': 12485, 'name': 'Other', 'icon': 'ghost'}]",85.0,EUR,False,True,https://es.wallapop.com/item/pilotos-traseros-remolque-1091693063,Madrid
qzmed4vlgojv,e65yv1oy0kjo,VENDO KIT H3 LED SOMOS EMPRESA;,"kit h3 led 3600 lumenes por lampara lo perfecto para no generar deslumbramientos electroventilador para refrigeracion y balastro con sitema canbus, luz 6000k blnca brillante, luz parecida al xenon proporciona las mismas prestaciones pero consumiendo menos y teniendo luz al instante, se envia a toda españa somos empresa ofrecemos factura de compra, artículos garantizados, atendemos whattsap correo electrónico telefono 365 dias al año mas de 1300 clientes del servicio en españa. sevilla guipuzcoa almeria jaen salamanca etc.. . ledh1 led h3 led hh7 led h4 led h11","[{'id': 12485, 'name': 'Other', 'icon': 'ghost'}]",60.0,EUR,False,True,https://es.wallapop.com/item/vendo-kit-h3-led-somos-empresa-1091692808,Madrid
v6gg58e0vl6e,0j2yq0qvevzy,Rollons de apoyos con aceites esenciales ,"Quieres saber cono apoyarte y apoyar a los que mas quieres con lo mas natural, te enseño y te ayudo a obtener aceites esneciales de doterra, que te ayudaran a tener una mejor calidad de vida.","[{'id': 12485, 'name': 'Other', 'icon': 'ghost'}]",20.0,EUR,False,True,https://es.wallapop.com/item/rollons-de-apoyos-con-aceites-esenciales-1090672988,Madrid
x6qmgyn78qjy,e65yv1oy0kjo,63117434274 Centralita faros xenon BMW,"63117434274 centralita faros xenon bmw serie 3 f30
envios 24h contrarembolso  balastros compatibles zmr nuevos y usados 1 año de garantia pregunta sin 

compromiso atendemos whatsapp
centralita faros xenon bmw serie 3 lim. (f30) , año: 2015 007042008136003.
referencia : 63117434273,7434273,
observaciones: 63117434274 unidad de mando electronica luz frontal 63117434274 63118494844 63117492028 

63117457875 63117444685 para faro led.
ref fabricante: 63117434273
número de pieza: 63117457875; 63117428775; 63117429126; 63117429788; 63117434274; 63117444685; 63117428776; 

63117429127; 63117429789
bmw serie 3 f30 f31 lci","[{'id': 12485, 'name': 'Other', 'icon': 'ghost'}]",90.0,EUR,False,True,https://es.wallapop.com/item/63117434274-centralita-faros-xenon-bmw-1091692590,Madrid
pzp2e950kkj3,e65yv1oy0kjo,VENDO FAROS FOCOS LED 48W REDONDOS::,"Focos led 48w redondos sólidos gran chorro de luz a bajo consumo ( 12v-24v)43000 lumens, 6500k, gran ángulo de iluminación 60grados. Cuerpo de aluminio sellado, estriado con disipador de calor, particular para soportar temperaturas extremas e impermeables. Incluye foco y aguantes para su fijación en tu quad, embarcación, tractor, excavadora, todo lote o camión. precio por unidad. Garantía.","[{'id': 12485, 'name': 'Other', 'icon': 'ghost'}]",15.0,EUR,False,True,https://es.wallapop.com/item/vendo-faros-focos-led-48w-redondos-1091692374,Madrid
v6ggx4kwln6e,e65yv1oy0kjo,FOCO DE TRABAJO LED 48 W SOMOS EMPRESA,"foco led 24 led 48w 4600 lumenes ideales para tractores medidas 11x11, funcionana a 12v y 24v resistentes agua polvo, envios urgentes a toda espa�a contrarembolso atendemos whattsap email telefono. tractores cosechadoras atomizador palas remolque camion quads atv. luz blanca gana el doble de vision garantia resistente al agua, apto para exteriores, motos, coches, quads, camiones, tractores, cosechadoras, cupra tdi, cupra, leon, fr, s3, s4, rs6, turbo, impreza, wrx,sti, evo audi bmw seat volkswagen bmw renault : saxo, ax, zx, xsara, xantia, focus, probe, mondeo, 106, 205, 206, 306, 307 clio, espace, fluence, kangoo, koleos, laguna, m","[{'id': 12485, 'name': 'Other', 'icon': 'ghost'}]",15.0,EUR,False,True,https://es.wallapop.com/item/foco-de-trabajo-led-48-w-somos-empresa-1091692140,Madrid
p6143p121765,kmzng9o0kk6n,Smoov One 10,"- Smoov One 10 km/h
- Mando de control innalambrico. 
- Cargador de Smoov y mando de control
- 2 soportes del mando de control para dos sillas. 
- 2 barras de anclaje (3 medidas cada una)
- Maletin nuevo. 

Batec, silla de ruedas. ","[{'id': 12485, 'name': 'Other', 'icon': 'ghost'}]",2750.0,EUR,False,False,https://es.wallapop.com/item/smoov-one-10-1090390755,Madrid
