id,user_id,title,description,category_id,price,images,reserved,location,shipping,favorited,bump,web_slug,created_at,modified_at,taxonomy,is_favoriteable,is_refurbished,discount
nz04385nmrjo,kmzn3g78wyjn,Todo tipo de reformas,"Grupo Genesis, nos encargamos de hacer todo tipo de reformas, ya sean integrales o cambiar solo un baño, contamos con mas de 20 años de experiencia en el sector, y un gran equipo de profesionales, le atenderemos desde el comienzo de la obra hasta el final, no dude en ponerse en contacto con nosotros, atendemos por telefono, WhatsApp o Email, puede venir a visitarnos a nuestras oficinas o podemos desplazarnos al lugar deseado.",19000,"{'amount': 0, 'currency': 'EUR'}","[{'average_color': '13C1AC', 'urls': {'small': 'https://cdn.wallapop.com/images/10420/ht/d5/__/c10420p1077247927/i5287376434.jpg?pictureSize=W320', 'medium': 'https://cdn.wallapop.com/images/10420/ht/d5/__/c10420p1077247927/i5287376434.jpg?pictureSize=W640', 'big': 'https://cdn.wallapop.com/images/10420/ht/d5/__/c10420p1077247927/i5287376434.jpg?pictureSize=W800'}}, {'average_color': '13C1AC', 'urls': {'small': 'https://cdn.wallapop.com/images/10420/ht/d5/__/c10420p1077247927/i5287376456.jpg?pictureSize=W320', 'medium': 'https://cdn.wallapop.com/images/10420/ht/d5/__/c10420p1077247927/i5287376456.jpg?pictureSize=W640', 'big': 'https://cdn.wallapop.com/images/10420/ht/d5/__/c10420p1077247927/i5287376456.jpg?pictureSize=W800'}}, {'average_color': '13C1AC', 'urls': {'small': 'https://cdn.wallapop.com/images/10420/ht/d5/__/c10420p1077247927/i5287376446.jpg?pictureSize=W320', 'medium': 'https://cdn.wallapop.com/images/10420/ht/d5/__/c10420p1077247927/i5287376446.jpg?pictureSize=W640', 'big': 'https://cdn.wallapop.com/images/10420/ht/d5/__/c10420p1077247927/i5287376446.jpg?pictureSize=W800'}}, {'average_color': '13C1AC', 'urls': {'small': 'https://cdn.wallapop.com/images/10420/ht/d5/__/c10420p1077247927/i5287376464.jpg?pictureSize=W320', 'medium': 'https://cdn.wallapop.com/images/10420/ht/d5/__/c10420p1077247927/i5287376464.jpg?pictureSize=W640', 'big': 'https://cdn.wallapop.com/images/10420/ht/d5/__/c10420p1077247927/i5287376464.jpg?pictureSize=W800'}}, {'average_color': '13C1AC', 'urls': {'small': 'https://cdn.wallapop.com/images/10420/ht/d5/__/c10420p1077247927/i5287376450.jpg?pictureSize=W320', 'medium': 'https://cdn.wallapop.com/images/10420/ht/d5/__/c10420p1077247927/i5287376450.jpg?pictureSize=W640', 'big': 'https://cdn.wallapop.com/images/10420/ht/d5/__/c10420p1077247927/i5287376450.jpg?pictureSize=W800'}}, {'average_color': '13C1AC', 'urls': {'small': 'https://cdn.wallapop.com/images/10420/ht/d5/__/c10420p1077247927/i5287376460.jpg?pictureSize=W320', 'medium': 'https://cdn.wallapop.com/images/10420/ht/d5/__/c10420p1077247927/i5287376460.jpg?pictureSize=W640', 'big': 'https://cdn.wallapop.com/images/10420/ht/d5/__/c10420p1077247927/i5287376460.jpg?pictureSize=W800'}}, {'average_color': '13C1AC', 'urls': {'small': 'https://cdn.wallapop.com/images/10420/ht/d5/__/c10420p1077247927/i5287376453.jpg?pictureSize=W320', 'medium': 'https://cdn.wallapop.com/images/10420/ht/d5/__/c10420p1077247927/i5287376453.jpg?pictureSize=W640', 'big': 'https://cdn.wallapop.com/images/10420/ht/d5/__/c10420p1077247927/i5287376453.jpg?pictureSize=W800'}}, {'average_color': '13C1AC', 'urls': {'small': 'https://cdn.wallapop.com/images/10420/ht/d5/__/c10420p1077247927/i5287376444.jpg?pictureSize=W320', 'medium': 'https://cdn.wallapop.com/images/10420/ht/d5/__/c10420p1077247927/i5287376444.jpg?pictureSize=W640', 'big': 'https://cdn.wallapop.com/images/10420/ht/d5/__/c10420p1077247927/i5287376444.jpg?pictureSize=W800'}}, {'average_color': '13C1AC', 'urls': {'small': 'https://cdn.wallapop.com/images/10420/ht/d5/__/c10420p1077247927/i5287376457.jpg?pictureSize=W320', 'medium': 'https://cdn.wallapop.com/images/10420/ht/d5/__/c10420p1077247927/i5287376457.jpg?pictureSize=W640', 'big': 'https://cdn.wallapop.com/images/10420/ht/d5/__/c10420p1077247927/i5287376457.jpg?pictureSize=W800'}}, {'average_color': '13C1AC', 'urls': {'small': 'https://cdn.wallapop.com/images/10420/ht/d5/__/c10420p1077247927/i5287376465.jpg?pictureSize=W320', 'medium': 'https://cdn.wallapop.com/images/10420/ht/d5/__/c10420p1077247927/i5287376465.jpg?pictureSize=W640', 'big': 'https://cdn.wallapop.com/images/10420/ht/d5/__/c10420p1077247927/i5287376465.jpg?pictureSize=W800'}}]",{'flag': False},"{'latitude': 40.422512396233934, 'longitude': -3.6868173727721074, 'postal_code': '28014', 'city': 'Madrid', 'region': 'Comunidad de Madrid', 'region2': 'Madrid', 'country_code': 'ES'}","{'item_is_shippable': False, 'user_allows_shipping': False}",{'flag': False},{'type': 'none'},todo-tipo-de-reformas-1077247927,1733612306633,1736595406765,"[{'id': 19000, 'name': 'Construction', 'icon': 'building'}, {'id': 10146, 'name': 'Others', 'icon': None}]",{'flag': True},{'flag': False},
nzx4xl21kej2,36ewdy0m3y6d,Carretilla de mano,Carretilla de mano,19000,"{'amount': 30, 'currency': 'EUR'}","[{'average_color': '13C1AC', 'urls': {'small': 'https://cdn.wallapop.com/images/10420/i1/uc/__/c10420p1091487078/i5361988518.jpg?pictureSize=W320', 'medium': 'https://cdn.wallapop.com/images/10420/i1/uc/__/c10420p1091487078/i5361988518.jpg?pictureSize=W640', 'big': 'https://cdn.wallapop.com/images/10420/i1/uc/__/c10420p1091487078/i5361988518.jpg?pictureSize=W800'}}]",{'flag': False},"{'latitude': 40.4254108306677, 'longitude': -3.6977228377732243, 'postal_code': '28014', 'city': 'Madrid', 'region': 'Comunidad de Madrid', 'region2': 'Madrid', 'country_code': 'ES'}","{'item_is_shippable': True, 'user_allows_shipping': True}",{'flag': False},{'type': 'none'},carretilla-de-mano-1091487078,1737301684754,1737301695014,"[{'id': 19000, 'name': 'Construction', 'icon': 'building'}, {'id': 10144, 'name': 'Tools & machinery', 'icon': None}, {'id': 10317, 'name': 'Tools', 'icon': None}]",{'flag': True},{'flag': False},
w674o3enoy6x,436e8dlpln6d,Pinza,"Terminaciones de conector trapezoidal de un solo golpe.
• Construcción robusta de acero para herramientas totalmente de carbono.
Duelos
• Diseñado para conectores keystone de 4 pares tipo 110.
• Acabado de óxido negro resistente al óxido.
• Mangos de TPR con agarre cómodo. Reducen la tensión en las manos en trabajos grandes con uso prolongado.",19000,"{'amount': 5, 'currency': 'EUR'}","[{'average_color': '13C1AC', 'urls': {'small': 'https://cdn.wallapop.com/images/10420/i1/rv/__/c10420p1091371228/i5361506703.jpg?pictureSize=W320', 'medium': 'https://cdn.wallapop.com/images/10420/i1/rv/__/c10420p1091371228/i5361506703.jpg?pictureSize=W640', 'big': 'https://cdn.wallapop.com/images/10420/i1/rv/__/c10420p1091371228/i5361506703.jpg?pictureSize=W800'}}, {'average_color': '13C1AC', 'urls': {'small': 'https://cdn.wallapop.com/images/10420/i1/rv/__/c10420p1091371228/i5361506769.jpg?pictureSize=W320', 'medium': 'https://cdn.wallapop.com/images/10420/i1/rv/__/c10420p1091371228/i5361506769.jpg?pictureSize=W640', 'big': 'https://cdn.wallapop.com/images/10420/i1/rv/__/c10420p1091371228/i5361506769.jpg?pictureSize=W800'}}]",{'flag': False},"{'latitude': 40.41937224187336, 'longitude': -3.6982139703907095, 'postal_code': '28014', 'city': 'Madrid', 'region': 'Comunidad de Madrid', 'region2': 'Madrid', 'country_code': 'ES'}","{'item_is_shippable': True, 'user_allows_shipping': False}",{'flag': False},{'type': 'none'},pinza-1091371228,1737284263262,1737284274318,"[{'id': 19000, 'name': 'Construction', 'icon': 'building'}, {'id': 10144, 'name': 'Tools & machinery', 'icon': None}, {'id': 10317, 'name': 'Tools', 'icon': None}]",{'flag': True},{'flag': False},
wzy41er1pvz5,ejk489g24yzx,Pintor Economico,"Pintor Economico Soy Oficial con amplia experiencia con mas de 20 años en oficio Español tanto en obras como en reformas todo tipo de pinturas y calidades, limpieza y seriedad asegurada. Presupuestos sin compromiso competitivos y claros Oficinas, Viviendas, Reformas, Talleres, Naves, Comunidades, etc atiendo wassap 699672030",19000,"{'amount': 1, 'currency': 'EUR'}","[{'average_color': '13C1AC', 'urls': {'small': 'https://cdn.wallapop.com/images/10420/i1/jb/__/c10420p1090972620/i5359551009.jpg?pictureSize=W320', 'medium': 'https://cdn.wallapop.com/images/10420/i1/jb/__/c10420p1090972620/i5359551009.jpg?pictureSize=W640', 'big': 'https://cdn.wallapop.com/images/10420/i1/jb/__/c10420p1090972620/i5359551009.jpg?pictureSize=W800'}}, {'average_color': '13C1AC', 'urls': {'small': 'https://cdn.wallapop.com/images/10420/i1/jb/__/c10420p1090972620/i5359551014.jpg?pictureSize=W320', 'medium': 'https://cdn.wallapop.com/images/10420/i1/jb/__/c10420p1090972620/i5359551014.jpg?pictureSize=W640', 'big': 'https://cdn.wallapop.com/images/10420/i1/jb/__/c10420p1090972620/i5359551014.jpg?pictureSize=W800'}}, {'average_color': '13C1AC', 'urls': {'small': 'https://cdn.wallapop.com/images/10420/i1/jb/__/c10420p1090972620/i5359551019.jpg?pictureSize=W320', 'medium': 'https://cdn.wallapop.com/images/10420/i1/jb/__/c10420p1090972620/i5359551019.jpg?pictureSize=W640', 'big': 'https://cdn.wallapop.com/images/10420/i1/jb/__/c10420p1090972620/i5359551019.jpg?pictureSize=W800'}}, {'average_color': '13C1AC', 'urls': {'small': 'https://cdn.wallapop.com/images/10420/i1/jb/__/c10420p1090972620/i5359551011.jpg?pictureSize=W320', 'medium': 'https://cdn.wallapop.com/images/10420/i1/jb/__/c10420p1090972620/i5359551011.jpg?pictureSize=W640', 'big': 'https://cdn.wallapop.com/images/10420/i1/jb/__/c10420p1090972620/i5359551011.jpg?pictureSize=W800'}}, {'average_color': '13C1AC', 'urls': {'small': 'https://cdn.wallapop.com/images/10420/i1/jb/__/c10420p1090972620/i5359551015.jpg?pictureSize=W320', 'medium': 'https://cdn.wallapop.com/images/10420/i1/jb/__/c10420p1090972620/i5359551015.jpg?pictureSize=W640', 'big': 'https://cdn.wallapop.com/images/10420/i1/jb/__/c10420p1090972620/i5359551015.jpg?pictureSize=W800'}}, {'average_color': '13C1AC', 'urls': {'small': 'https://cdn.wallapop.com/images/10420/i1/jb/__/c10420p1090972620/i5359551017.jpg?pictureSize=W320', 'medium': 'https://cdn.wallapop.com/images/10420/i1/jb/__/c10420p1090972620/i5359551017.jpg?pictureSize=W640', 'big': 'https://cdn.wallapop.com/images/10420/i1/jb/__/c10420p1090972620/i5359551017.jpg?pictureSize=W800'}}, {'average_color': '13C1AC', 'urls': {'small': 'https://cdn.wallapop.com/images/10420/i1/jb/__/c10420p1090972620/i5359551016.jpg?pictureSize=W320', 'medium': 'https://cdn.wallapop.com/images/10420/i1/jb/__/c10420p1090972620/i5359551016.jpg?pictureSize=W640', 'big': 'https://cdn.wallapop.com/images/10420/i1/jb/__/c10420p1090972620/i5359551016.jpg?pictureSize=W800'}}, {'average_color': '13C1AC', 'urls': {'small': 'https://cdn.wallapop.com/images/10420/i1/jb/__/c10420p1090972620/i5359551020.jpg?pictureSize=W320', 'medium': 'https://cdn.wallapop.com/images/10420/i1/jb/__/c10420p1090972620/i5359551020.jpg?pictureSize=W640', 'big': 'https://cdn.wallapop.com/images/10420/i1/jb/__/c10420p1090972620/i5359551020.jpg?pictureSize=W800'}}, {'average_color': '13C1AC', 'urls': {'small': 'https://cdn.wallapop.com/images/10420/i1/jb/__/c10420p1090972620/i5359551025.jpg?pictureSize=W320', 'medium': 'https://cdn.wallapop.com/images/10420/i1/jb/__/c10420p1090972620/i5359551025.jpg?pictureSize=W640', 'big': 'https://cdn.wallapop.com/images/10420/i1/jb/__/c10420p1090972620/i5359551025.jpg?pictureSize=W800'}}, {'average_color': '13C1AC', 'urls': {'small': 'https://cdn.wallapop.com/images/10420/i1/jb/__/c10420p1090972620/i5359551021.jpg?pictureSize=W320', 'medium': 'https://cdn.wallapop.com/images/10420/i1/jb/__/c10420p1090972620/i5359551021.jpg?pictureSize=W640', 'big': 'https://cdn.wallapop.com/images/10420/i1/jb/__/c10420p1090972620/i5359551021.jpg?pictureSize=W800'}}]",{'flag': False},"{'latitude': 40.426115065105876, 'longitude': -3.6939908097039935, 'postal_code': '28014', 'city': 'Madrid', 'region': 'Comunidad de Madrid', 'region2': 'Madrid', 'country_code': 'ES'}","{'item_is_shippable': True, 'user_allows_shipping': False}",{'flag': False},{'type': 'none'},pintor-economico-1090972620,1737191755865,1737191766261,"[{'id': 19000, 'name': 'Construction', 'icon': 'building'}, {'id': 10148, 'name': 'Paints & varnishes', 'icon': None}, {'id': 10323, 'name': 'Paints', 'icon': None}]",{'flag': True},{'flag': False},
nzx48eo175j2,kmzn3g78wyjn,REFORMA,"Sabemos lo que conlleva una reforma, por eso en Grupo Genesis nos ofrecemos a ayudarles desde el inicio de la misma hasta conseguir el resultado deseado, todo tipo de reformas a traves de un gran equipo especializado en todos los oficios, nos avalan nuestros años de experiencia y seriedad, no dude en contactarnos.",19000,"{'amount': 50, 'currency': 'EUR'}","[{'average_color': '13C1AC', 'urls': {'small': 'https://cdn.wallapop.com/images/10420/ht/d6/__/c10420p1077248306/i5287377998.jpg?pictureSize=W320', 'medium': 'https://cdn.wallapop.com/images/10420/ht/d6/__/c10420p1077248306/i5287377998.jpg?pictureSize=W640', 'big': 'https://cdn.wallapop.com/images/10420/ht/d6/__/c10420p1077248306/i5287377998.jpg?pictureSize=W800'}}, {'average_color': '13C1AC', 'urls': {'small': 'https://cdn.wallapop.com/images/10420/ht/d6/__/c10420p1077248306/i5287378023.jpg?pictureSize=W320', 'medium': 'https://cdn.wallapop.com/images/10420/ht/d6/__/c10420p1077248306/i5287378023.jpg?pictureSize=W640', 'big': 'https://cdn.wallapop.com/images/10420/ht/d6/__/c10420p1077248306/i5287378023.jpg?pictureSize=W800'}}, {'average_color': '13C1AC', 'urls': {'small': 'https://cdn.wallapop.com/images/10420/ht/d6/__/c10420p1077248306/i5287378018.jpg?pictureSize=W320', 'medium': 'https://cdn.wallapop.com/images/10420/ht/d6/__/c10420p1077248306/i5287378018.jpg?pictureSize=W640', 'big': 'https://cdn.wallapop.com/images/10420/ht/d6/__/c10420p1077248306/i5287378018.jpg?pictureSize=W800'}}, {'average_color': '13C1AC', 'urls': {'small': 'https://cdn.wallapop.com/images/10420/ht/d6/__/c10420p1077248306/i5287378026.jpg?pictureSize=W320', 'medium': 'https://cdn.wallapop.com/images/10420/ht/d6/__/c10420p1077248306/i5287378026.jpg?pictureSize=W640', 'big': 'https://cdn.wallapop.com/images/10420/ht/d6/__/c10420p1077248306/i5287378026.jpg?pictureSize=W800'}}, {'average_color': '13C1AC', 'urls': {'small': 'https://cdn.wallapop.com/images/10420/ht/d6/__/c10420p1077248306/i5287378013.jpg?pictureSize=W320', 'medium': 'https://cdn.wallapop.com/images/10420/ht/d6/__/c10420p1077248306/i5287378013.jpg?pictureSize=W640', 'big': 'https://cdn.wallapop.com/images/10420/ht/d6/__/c10420p1077248306/i5287378013.jpg?pictureSize=W800'}}]",{'flag': False},"{'latitude': 40.422512396233934, 'longitude': -3.6868173727721074, 'postal_code': '28014', 'city': 'Madrid', 'region': 'Comunidad de Madrid', 'region2': 'Madrid', 'country_code': 'ES'}","{'item_is_shippable': True, 'user_allows_shipping': True, 'cost_configuration_id': '814429d6-7844-471d-97af-196cd4020f26'}",{'flag': False},{'type': 'none'},reforma-1077248306,1733612518315,1736595396760,"[{'id': 19000, 'name': 'Construction', 'icon': 'building'}, {'id': 10146, 'name': 'Others', 'icon': None}]",{'flag': True},{'flag': False},
vjrq2l0ep4zk,8x6q3789xnzy,Navaja para coleccionismo,Navaja de 19 centímetros de longitud total con mango de madera y acero inoxidable 420.Apertura especial.Navaja de colección,19000,"{'amount': 22, 'currency': 'EUR'}","[{'average_color': '13C1AC', 'urls': {'small': 'https://cdn.wallapop.com/images/10420/i1/gi/__/c10420p1090841719/i5359035329.jpg?pictureSize=W320', 'medium': 'https://cdn.wallapop.com/images/10420/i1/gi/__/c10420p1090841719/i5359035329.jpg?pictureSize=W640', 'big': 'https://cdn.wallapop.com/images/10420/i1/gi/__/c10420p1090841719/i5359035329.jpg?pictureSize=W800'}}, {'average_color': '13C1AC', 'urls': {'small': 'https://cdn.wallapop.com/images/10420/i1/gi/__/c10420p1090841719/i5359035525.jpg?pictureSize=W320', 'medium': 'https://cdn.wallapop.com/images/10420/i1/gi/__/c10420p1090841719/i5359035525.jpg?pictureSize=W640', 'big': 'https://cdn.wallapop.com/images/10420/i1/gi/__/c10420p1090841719/i5359035525.jpg?pictureSize=W800'}}, {'average_color': '13C1AC', 'urls': {'small': 'https://cdn.wallapop.com/images/10420/i1/gi/__/c10420p1090841719/i5359035630.jpg?pictureSize=W320', 'medium': 'https://cdn.wallapop.com/images/10420/i1/gi/__/c10420p1090841719/i5359035630.jpg?pictureSize=W640', 'big': 'https://cdn.wallapop.com/images/10420/i1/gi/__/c10420p1090841719/i5359035630.jpg?pictureSize=W800'}}]",{'flag': False},"{'latitude': 40.41193683557789, 'longitude': -3.6878761157472915, 'postal_code': '28014', 'city': 'Madrid', 'region': 'Comunidad de Madrid', 'region2': 'Madrid', 'country_code': 'ES'}","{'item_is_shippable': True, 'user_allows_shipping': True}",{'flag': False},{'type': 'none'},navaja-para-coleccionismo-1090841719,1737142455104,1737142466214,"[{'id': 19000, 'name': 'Construction', 'icon': 'building'}, {'id': 10144, 'name': 'Tools & machinery', 'icon': None}, {'id': 10317, 'name': 'Tools', 'icon': None}]",{'flag': True},{'flag': False},
e658knn8p26o,kp617e4p1g65,Rotulos comercio economico,"Se diseñan y fabrican rótulos económicos con un sistema innovador y sencillo. Olvídate de diseñar un vinillo o toda una estructura compleja: con esta opción, solo necesitas colocar las letras. Estas letras, de distintos grosores, aportan volumen y elegancia a cualquier espacio. Una solución económica y estilizada para quienes buscan destacar. Escríbeme para más información y presupuestos sin compromiso",19000,"{'amount': 35, 'currency': 'EUR'}","[{'average_color': '13C1AC', 'urls': {'small': 'https://cdn.wallapop.com/images/10420/i0/nh/__/c10420p1089486348/i5352123660.jpg?pictureSize=W320', 'medium': 'https://cdn.wallapop.com/images/10420/i0/nh/__/c10420p1089486348/i5352123660.jpg?pictureSize=W640', 'big': 'https://cdn.wallapop.com/images/10420/i0/nh/__/c10420p1089486348/i5352123660.jpg?pictureSize=W800'}}]",{'flag': False},"{'latitude': 40.42133659064592, 'longitude': -3.700632081073476, 'postal_code': '28014', 'city': 'Madrid', 'region': 'Comunidad de Madrid', 'region2': 'Madrid', 'country_code': 'ES'}","{'item_is_shippable': True, 'user_allows_shipping': False}",{'flag': False},{'type': 'none'},rotulos-comercio-economico-1089486348,1736851459587,1736851469910,"[{'id': 19000, 'name': 'Construction', 'icon': 'building'}, {'id': 10146, 'name': 'Others', 'icon': None}]",{'flag': True},{'flag': False},
qzmexk2vmljv,9jdxo30rnlzk,Carro Rolser Sbelta MF 4.2  Marengo,"Carro Rolser de aluminio de 2/4 ruedas, ",19000,"{'amount': 75, 'currency': 'EUR'}","[{'average_color': '13C1AC', 'urls': {'small': 'https://cdn.wallapop.com/images/10420/i0/hl/__/c10420p1089212708/i5350886003.jpg?pictureSize=W320', 'medium': 'https://cdn.wallapop.com/images/10420/i0/hl/__/c10420p1089212708/i5350886003.jpg?pictureSize=W640', 'big': 'https://cdn.wallapop.com/images/10420/i0/hl/__/c10420p1089212708/i5350886003.jpg?pictureSize=W800'}}, {'average_color': '13C1AC', 'urls': {'small': 'https://cdn.wallapop.com/images/10420/i0/hl/__/c10420p1089212708/i5350886027.jpg?pictureSize=W320', 'medium': 'https://cdn.wallapop.com/images/10420/i0/hl/__/c10420p1089212708/i5350886027.jpg?pictureSize=W640', 'big': 'https://cdn.wallapop.com/images/10420/i0/hl/__/c10420p1089212708/i5350886027.jpg?pictureSize=W800'}}]",{'flag': False},"{'latitude': 40.42452989850553, 'longitude': -3.6959487701754843, 'postal_code': '28014', 'city': 'Madrid', 'region': 'Comunidad de Madrid', 'region2': 'Madrid', 'country_code': 'ES'}","{'item_is_shippable': True, 'user_allows_shipping': True}",{'flag': False},{'type': 'none'},carro-rolser-sbelta-mf-4-2-marengo-1089212708,1736780870114,1736780880756,"[{'id': 19000, 'name': 'Construction', 'icon': 'building'}, {'id': 10143, 'name': 'Hardware', 'icon': None}]",{'flag': True},{'flag': False},
e658k1n7qp6o,v4z4vxvw5wzy,Cerramiento con puerta corredera gris antracita ,"cerramiento con puerta corredera marco en gris antracita nuevo. lo vendo por reforma ya desmontado. 
alto 2.44 ancho del fijo 1.26 y ancho de la puerta corredera 0,93",19000,"{'amount': 800, 'currency': 'EUR'}","[{'average_color': '13C1AC', 'urls': {'small': 'https://cdn.wallapop.com/images/10420/i0/99/__/c10420p1088823896/i5349369273.jpg?pictureSize=W320', 'medium': 'https://cdn.wallapop.com/images/10420/i0/99/__/c10420p1088823896/i5349369273.jpg?pictureSize=W640', 'big': 'https://cdn.wallapop.com/images/10420/i0/99/__/c10420p1088823896/i5349369273.jpg?pictureSize=W800'}}, {'average_color': '13C1AC', 'urls': {'small': 'https://cdn.wallapop.com/images/10420/i0/99/__/c10420p1088823896/i5349369305.jpg?pictureSize=W320', 'medium': 'https://cdn.wallapop.com/images/10420/i0/99/__/c10420p1088823896/i5349369305.jpg?pictureSize=W640', 'big': 'https://cdn.wallapop.com/images/10420/i0/99/__/c10420p1088823896/i5349369305.jpg?pictureSize=W800'}}]",{'flag': False},"{'latitude': 40.42019716076833, 'longitude': -3.690627495885191, 'postal_code': '28009', 'city': 'Madrid', 'region': 'Comunidad de Madrid', 'region2': 'Madrid', 'country_code': 'ES'}","{'item_is_shippable': False, 'user_allows_shipping': False}",{'flag': False},{'type': 'city'},cerramiento-con-puerta-corredera-gris-antracita-1088823896,1736696254266,1737101361315,"[{'id': 19000, 'name': 'Construction', 'icon': 'building'}, {'id': 10149, 'name': 'Doors & windows', 'icon': None}, {'id': 10326, 'name': 'Sliding doors', 'icon': None}]",{'flag': True},{'flag': False},
qzmexkqk0xjv,9jdxo30rnlzk,Magafesa star olla a presion rapida 4L,"MAGEFESA STAR Olla a presión rápida, fácil uso, acero inoxidable 18/10, apta para inducción RECTA 4L",19000,"{'amount': 45, 'currency': 'EUR'}","[{'average_color': '13C1AC', 'urls': {'small': 'https://cdn.wallapop.com/images/10420/i0/he/__/c10420p1089203656/i5350840675.jpg?pictureSize=W320', 'medium': 'https://cdn.wallapop.com/images/10420/i0/he/__/c10420p1089203656/i5350840675.jpg?pictureSize=W640', 'big': 'https://cdn.wallapop.com/images/10420/i0/he/__/c10420p1089203656/i5350840675.jpg?pictureSize=W800'}}]",{'flag': False},"{'latitude': 40.42452989850553, 'longitude': -3.6959487701754843, 'postal_code': '28014', 'city': 'Madrid', 'region': 'Comunidad de Madrid', 'region2': 'Madrid', 'country_code': 'ES'}","{'item_is_shippable': True, 'user_allows_shipping': True}",{'flag': False},{'type': 'none'},magafesa-star-olla-a-presion-rapida-4l-1089203656,1736779149934,1736779160181,"[{'id': 19000, 'name': 'Construction', 'icon': 'building'}, {'id': 10143, 'name': 'Hardware', 'icon': None}]",{'flag': True},{'flag': False},
