id,user_id,title,description,category_id,price,images,reserved,location,shipping,favorited,bump,web_slug,created_at,modified_at,taxonomy,is_favoriteable,is_refurbished
vjrq82dxgwzk,8j3m37p25l69,Chaleco CRESSI START,"chaleco de buceo ideal tanto para iniciarte como si ya tienes algo de experiencia en el buceo recreativo.
Son chalecos nuevos en su caja.
Nos queda uno talla S y una talla M",12579,"{'amount': 215, 'currency': 'EUR'}","[{'average_color': '13C1AC', 'urls': {'small': 'https://cdn.wallapop.com/images/10420/hv/6i/__/c10420p1080297091/i5305735921.jpg?pictureSize=W320', 'medium': 'https://cdn.wallapop.com/images/10420/hv/6i/__/c10420p1080297091/i5305735921.jpg?pictureSize=W640', 'big': 'https://cdn.wallapop.com/images/10420/hv/6i/__/c10420p1080297091/i5305735921.jpg?pictureSize=W800'}}]",{'flag': False},"{'latitude': 40.41795844686351, 'longitude': -3.684252219431429, 'postal_code': '28014', 'city': 'Madrid', 'region': 'Comunidad de Madrid', 'region2': 'Madrid', 'country_code': 'ES'}","{'item_is_shippable': True, 'user_allows_shipping': True}",{'flag': False},{'type': 'none'},chaleco-cressi-start-1080297091,1734459500355,1734459555670,"[{'id': 12579, 'name': 'Sports & leisure', 'icon': 'ball'}, {'id': 10104, 'name': 'Others', 'icon': None}]",{'flag': True},{'flag': False}
qzmed34lvojv,8ejk85n51yjx,Garmin Edge 1000,"Ordenador GPS 
- Competiciones en recorrido mediante segmentos Garmin Connect™
- Navegación y puntos de interés en carretera y fuera de carretera 
- Hasta 3 opciones de rutas de ida y vuelta
- Cargas instantáneas a Garmin Connect™ Mobile 
- Funciones de conexión¹: llamada entrante, alertas de llamada y mensaje de texto² entrantes, rastreo en tiempo real, envío y recepción de trayectos, uso compartido en redes sociales, partes meteorológicos",12579,"{'amount': 98, 'currency': 'EUR'}","[{'average_color': '13C1AC', 'urls': {'small': 'https://cdn.wallapop.com/images/10420/i2/3i/__/c10420p1091914232/i5364011970.jpg?pictureSize=W320', 'medium': 'https://cdn.wallapop.com/images/10420/i2/3i/__/c10420p1091914232/i5364011970.jpg?pictureSize=W640', 'big': 'https://cdn.wallapop.com/images/10420/i2/3i/__/c10420p1091914232/i5364011970.jpg?pictureSize=W800'}}, {'average_color': '13C1AC', 'urls': {'small': 'https://cdn.wallapop.com/images/10420/i2/3i/__/c10420p1091914232/i5364012183.jpg?pictureSize=W320', 'medium': 'https://cdn.wallapop.com/images/10420/i2/3i/__/c10420p1091914232/i5364012183.jpg?pictureSize=W640', 'big': 'https://cdn.wallapop.com/images/10420/i2/3i/__/c10420p1091914232/i5364012183.jpg?pictureSize=W800'}}, {'average_color': '13C1AC', 'urls': {'small': 'https://cdn.wallapop.com/images/10420/i2/3i/__/c10420p1091914232/i5364011957.jpg?pictureSize=W320', 'medium': 'https://cdn.wallapop.com/images/10420/i2/3i/__/c10420p1091914232/i5364011957.jpg?pictureSize=W640', 'big': 'https://cdn.wallapop.com/images/10420/i2/3i/__/c10420p1091914232/i5364011957.jpg?pictureSize=W800'}}, {'average_color': '13C1AC', 'urls': {'small': 'https://cdn.wallapop.com/images/10420/i2/3i/__/c10420p1091914232/i5364012192.jpg?pictureSize=W320', 'medium': 'https://cdn.wallapop.com/images/10420/i2/3i/__/c10420p1091914232/i5364012192.jpg?pictureSize=W640', 'big': 'https://cdn.wallapop.com/images/10420/i2/3i/__/c10420p1091914232/i5364012192.jpg?pictureSize=W800'}}, {'average_color': '13C1AC', 'urls': {'small': 'https://cdn.wallapop.com/images/10420/i2/3i/__/c10420p1091914232/i5364011962.jpg?pictureSize=W320', 'medium': 'https://cdn.wallapop.com/images/10420/i2/3i/__/c10420p1091914232/i5364011962.jpg?pictureSize=W640', 'big': 'https://cdn.wallapop.com/images/10420/i2/3i/__/c10420p1091914232/i5364011962.jpg?pictureSize=W800'}}, {'average_color': '13C1AC', 'urls': {'small': 'https://cdn.wallapop.com/images/10420/i2/3i/__/c10420p1091914232/i5364012198.jpg?pictureSize=W320', 'medium': 'https://cdn.wallapop.com/images/10420/i2/3i/__/c10420p1091914232/i5364012198.jpg?pictureSize=W640', 'big': 'https://cdn.wallapop.com/images/10420/i2/3i/__/c10420p1091914232/i5364012198.jpg?pictureSize=W800'}}]",{'flag': False},"{'latitude': 40.42002210575324, 'longitude': -3.6867467035881814, 'postal_code': '28014', 'city': 'Madrid', 'region': 'Comunidad de Madrid', 'region2': 'Madrid', 'country_code': 'ES'}","{'item_is_shippable': True, 'user_allows_shipping': True}",{'flag': False},{'type': 'none'},garmin-edge-1000-1091914232,1737394675924,1737394796743,"[{'id': 12579, 'name': 'Sports & leisure', 'icon': 'ball'}, {'id': 10104, 'name': 'Others', 'icon': None}]",{'flag': True},{'flag': False}
p6140or5qd65,wzvy4q22w4zl,Camiseta Valencia Cf,Camiseta temporada 96-97 original,12579,"{'amount': 225, 'currency': 'EUR'}","[{'average_color': '13C1AC', 'urls': {'small': 'https://cdn.wallapop.com/images/10420/i2/1k/__/c10420p1091823779/i5363602393.jpg?pictureSize=W320', 'medium': 'https://cdn.wallapop.com/images/10420/i2/1k/__/c10420p1091823779/i5363602393.jpg?pictureSize=W640', 'big': 'https://cdn.wallapop.com/images/10420/i2/1k/__/c10420p1091823779/i5363602393.jpg?pictureSize=W800'}}, {'average_color': '13C1AC', 'urls': {'small': 'https://cdn.wallapop.com/images/10420/i2/1k/__/c10420p1091823779/i5363602458.jpg?pictureSize=W320', 'medium': 'https://cdn.wallapop.com/images/10420/i2/1k/__/c10420p1091823779/i5363602458.jpg?pictureSize=W640', 'big': 'https://cdn.wallapop.com/images/10420/i2/1k/__/c10420p1091823779/i5363602458.jpg?pictureSize=W800'}}, {'average_color': '13C1AC', 'urls': {'small': 'https://cdn.wallapop.com/images/10420/i2/1k/__/c10420p1091823779/i5363602471.jpg?pictureSize=W320', 'medium': 'https://cdn.wallapop.com/images/10420/i2/1k/__/c10420p1091823779/i5363602471.jpg?pictureSize=W640', 'big': 'https://cdn.wallapop.com/images/10420/i2/1k/__/c10420p1091823779/i5363602471.jpg?pictureSize=W800'}}]",{'flag': False},"{'latitude': 40.4201562649647, 'longitude': -3.6929760418468027, 'postal_code': '28014', 'city': 'Madrid', 'region': 'Comunidad de Madrid', 'region2': 'Madrid', 'country_code': 'ES'}","{'item_is_shippable': True, 'user_allows_shipping': True}",{'flag': False},{'type': 'none'},camiseta-valencia-cf-1091823779,1737379153506,1737379163708,"[{'id': 12579, 'name': 'Sports & leisure', 'icon': 'ball'}, {'id': 10098, 'name': 'Soccer', 'icon': None}]",{'flag': True},{'flag': False}
wzv47yern1zl,npj9m29e8m6e,Botas de montaña Número 40,"Botas de montaña en perfecto estado, del número 40.",12579,"{'amount': 20, 'currency': 'EUR'}","[{'average_color': '13C1AC', 'urls': {'small': 'https://cdn.wallapop.com/images/10420/i2/0b/__/c10420p1091764917/i5363292148.jpg?pictureSize=W320', 'medium': 'https://cdn.wallapop.com/images/10420/i2/0b/__/c10420p1091764917/i5363292148.jpg?pictureSize=W640', 'big': 'https://cdn.wallapop.com/images/10420/i2/0b/__/c10420p1091764917/i5363292148.jpg?pictureSize=W800'}}, {'average_color': '13C1AC', 'urls': {'small': 'https://cdn.wallapop.com/images/10420/i2/0b/__/c10420p1091764917/i5363292174.jpg?pictureSize=W320', 'medium': 'https://cdn.wallapop.com/images/10420/i2/0b/__/c10420p1091764917/i5363292174.jpg?pictureSize=W640', 'big': 'https://cdn.wallapop.com/images/10420/i2/0b/__/c10420p1091764917/i5363292174.jpg?pictureSize=W800'}}, {'average_color': '13C1AC', 'urls': {'small': 'https://cdn.wallapop.com/images/10420/i2/0b/__/c10420p1091764917/i5363292167.jpg?pictureSize=W320', 'medium': 'https://cdn.wallapop.com/images/10420/i2/0b/__/c10420p1091764917/i5363292167.jpg?pictureSize=W640', 'big': 'https://cdn.wallapop.com/images/10420/i2/0b/__/c10420p1091764917/i5363292167.jpg?pictureSize=W800'}}]",{'flag': False},"{'latitude': 40.41323217996879, 'longitude': -3.7013395438161787, 'postal_code': '28014', 'city': 'Madrid', 'region': 'Comunidad de Madrid', 'region2': 'Madrid', 'country_code': 'ES'}","{'item_is_shippable': True, 'user_allows_shipping': True}",{'flag': False},{'type': 'none'},botas-de-montana-numero-40-1091764917,1737369300066,1737369310336,"[{'id': 12579, 'name': 'Sports & leisure', 'icon': 'ball'}, {'id': 10102, 'name': 'Mountain & ski', 'icon': None}]",{'flag': True},{'flag': False}
nzx480r8d5j2,p8j3wq4dl2z9,ADIDAS METALBONE 3.4 HRD,"Palas nueva a estrenar con precintos y envío Contrareembolso 
Tb pagos por Bizum 

Somos distribuidores multimarca con mas de 20 años de experiencia en la venta de productos de padel, si necesita asesoramiento consultenos y le ayudaremos a elegir su mejor opcion. 

-Todas nuestras palas tiene 6 meses de garantia que en tal caso tramitamos nosotros con las marcas. 


-El envio se realiza por mensajeria urgente 24h y puedes comprobar el material antes de pagarlo para verificar su autenticidad y estado.

SOLO HACEMOS ENVÍOS.
No entregamos en mano 

Mire nuestras valoraciones de los clientes satisfechos.
100% confianza  ",12579,"{'amount': 269, 'currency': 'EUR'}","[{'average_color': '13C1AC', 'urls': {'small': 'https://cdn.wallapop.com/images/10420/hs/up/__/c10420p1076386754/i5282774075.jpg?pictureSize=W320', 'medium': 'https://cdn.wallapop.com/images/10420/hs/up/__/c10420p1076386754/i5282774075.jpg?pictureSize=W640', 'big': 'https://cdn.wallapop.com/images/10420/hs/up/__/c10420p1076386754/i5282774075.jpg?pictureSize=W800'}}]",{'flag': False},"{'latitude': 40.42691480122536, 'longitude': -3.6959871226441545, 'postal_code': '28014', 'city': 'Madrid', 'region': 'Comunidad de Madrid', 'region2': 'Madrid', 'country_code': 'ES'}","{'item_is_shippable': True, 'user_allows_shipping': True, 'cost_configuration_id': '04cf65ea-42f5-11ed-b878-0242ac120002'}",{'flag': False},{'type': 'none'},adidas-metalbone-3-4-hrd-1076386754,1733391153653,1733746723920,"[{'id': 12579, 'name': 'Sports & leisure', 'icon': 'ball'}, {'id': 10108, 'name': 'Tennis & paddle tennis', 'icon': None}]",{'flag': True},{'flag': False}
pzp2e97709j3,v9jd4vo194jk,"Pack de comunes, infrecuentes y caja mtg","Pack de comunes e infrecuentes de unas 500 cartas +pack consistente en unas 300 cartas comunes, 200 infrecuentes y 20 raras, además de algunas fichas y cartas de arte.",12579,"{'amount': 15, 'currency': 'EUR'}","[{'average_color': '13C1AC', 'urls': {'small': 'https://cdn.wallapop.com/images/10420/i1/yy/__/c10420p1091701898/i5362962918.jpg?pictureSize=W320', 'medium': 'https://cdn.wallapop.com/images/10420/i1/yy/__/c10420p1091701898/i5362962918.jpg?pictureSize=W640', 'big': 'https://cdn.wallapop.com/images/10420/i1/yy/__/c10420p1091701898/i5362962918.jpg?pictureSize=W800'}}, {'average_color': '13C1AC', 'urls': {'small': 'https://cdn.wallapop.com/images/10420/i1/yy/__/c10420p1091701898/i5362996536.jpg?pictureSize=W320', 'medium': 'https://cdn.wallapop.com/images/10420/i1/yy/__/c10420p1091701898/i5362996536.jpg?pictureSize=W640', 'big': 'https://cdn.wallapop.com/images/10420/i1/yy/__/c10420p1091701898/i5362996536.jpg?pictureSize=W800'}}]",{'flag': True},"{'latitude': 40.416920641514075, 'longitude': -3.701265396224672, 'postal_code': '28014', 'city': 'Madrid', 'region': 'Comunidad de Madrid', 'region2': 'Madrid', 'country_code': 'ES'}","{'item_is_shippable': True, 'user_allows_shipping': True, 'cost_configuration_id': '814429d6-7844-471d-97af-196cd4020f26'}",{'flag': False},{'type': 'none'},pack-de-comunes-infrecuentes-y-caja-mtg-1091701898,1737356888299,1737364391430,"[{'id': 12579, 'name': 'Sports & leisure', 'icon': 'ball'}, {'id': 10100, 'name': 'Recreational & board games', 'icon': None}]",{'flag': True},{'flag': False}
8z8k31wl41z3,p61o7ro94gj5,Pantalón deportivo niña Fila,Pantalón corto niña Fila. Talla 12 años. En perfecto estado.,12579,"{'amount': 6, 'currency': 'EUR'}","[{'average_color': '13C1AC', 'urls': {'small': 'https://cdn.wallapop.com/images/10420/i1/y3/__/c10420p1091661794/i5362722712.jpg?pictureSize=W320', 'medium': 'https://cdn.wallapop.com/images/10420/i1/y3/__/c10420p1091661794/i5362722712.jpg?pictureSize=W640', 'big': 'https://cdn.wallapop.com/images/10420/i1/y3/__/c10420p1091661794/i5362722712.jpg?pictureSize=W800'}}, {'average_color': '13C1AC', 'urls': {'small': 'https://cdn.wallapop.com/images/10420/i1/y3/__/c10420p1091661794/i5362722762.jpg?pictureSize=W320', 'medium': 'https://cdn.wallapop.com/images/10420/i1/y3/__/c10420p1091661794/i5362722762.jpg?pictureSize=W640', 'big': 'https://cdn.wallapop.com/images/10420/i1/y3/__/c10420p1091661794/i5362722762.jpg?pictureSize=W800'}}, {'average_color': '13C1AC', 'urls': {'small': 'https://cdn.wallapop.com/images/10420/i1/y3/__/c10420p1091661794/i5362722791.jpg?pictureSize=W320', 'medium': 'https://cdn.wallapop.com/images/10420/i1/y3/__/c10420p1091661794/i5362722791.jpg?pictureSize=W640', 'big': 'https://cdn.wallapop.com/images/10420/i1/y3/__/c10420p1091661794/i5362722791.jpg?pictureSize=W800'}}]",{'flag': False},"{'latitude': 40.4267842041338, 'longitude': -3.6872157465635165, 'postal_code': '28014', 'city': 'Madrid', 'region': 'Comunidad de Madrid', 'region2': 'Madrid', 'country_code': 'ES'}","{'item_is_shippable': True, 'user_allows_shipping': True}",{'flag': False},{'type': 'none'},pantalon-deportivo-nina-fila-1091661794,1737332042570,1737332052843,"[{'id': 12579, 'name': 'Sports & leisure', 'icon': 'ball'}]",{'flag': True},{'flag': False}
w674od4r086x,xzo8l2r5d569,Caballete antiguo para acuarela,"Caballete antiguo para acuarela. Fabricación inglesa. En roble macizo. Principios de siglo XX. Completamente plegable, incluye un compartimento para material. La lona, original, presente el desgaste propio de su edad. Una auténtica rareza muy dificil de encontrar. Hago envíos.",12579,"{'amount': 300, 'currency': 'EUR'}","[{'average_color': '13C1AC', 'urls': {'small': 'https://cdn.wallapop.com/images/10420/i1/x6/__/c10420p1091618376/i5362511121.jpg?pictureSize=W320', 'medium': 'https://cdn.wallapop.com/images/10420/i1/x6/__/c10420p1091618376/i5362511121.jpg?pictureSize=W640', 'big': 'https://cdn.wallapop.com/images/10420/i1/x6/__/c10420p1091618376/i5362511121.jpg?pictureSize=W800'}}, {'average_color': '13C1AC', 'urls': {'small': 'https://cdn.wallapop.com/images/10420/i1/x6/__/c10420p1091618376/i5362511604.jpg?pictureSize=W320', 'medium': 'https://cdn.wallapop.com/images/10420/i1/x6/__/c10420p1091618376/i5362511604.jpg?pictureSize=W640', 'big': 'https://cdn.wallapop.com/images/10420/i1/x6/__/c10420p1091618376/i5362511604.jpg?pictureSize=W800'}}, {'average_color': '13C1AC', 'urls': {'small': 'https://cdn.wallapop.com/images/10420/i1/x6/__/c10420p1091618376/i5362511861.jpg?pictureSize=W320', 'medium': 'https://cdn.wallapop.com/images/10420/i1/x6/__/c10420p1091618376/i5362511861.jpg?pictureSize=W640', 'big': 'https://cdn.wallapop.com/images/10420/i1/x6/__/c10420p1091618376/i5362511861.jpg?pictureSize=W800'}}, {'average_color': '13C1AC', 'urls': {'small': 'https://cdn.wallapop.com/images/10420/i1/x6/__/c10420p1091618376/i5362512157.jpg?pictureSize=W320', 'medium': 'https://cdn.wallapop.com/images/10420/i1/x6/__/c10420p1091618376/i5362512157.jpg?pictureSize=W640', 'big': 'https://cdn.wallapop.com/images/10420/i1/x6/__/c10420p1091618376/i5362512157.jpg?pictureSize=W800'}}]",{'flag': False},"{'latitude': 40.42279082198981, 'longitude': -3.6849757759626582, 'postal_code': '28014', 'city': 'Madrid', 'region': 'Comunidad de Madrid', 'region2': 'Madrid', 'country_code': 'ES'}","{'item_is_shippable': True, 'user_allows_shipping': False, 'cost_configuration_id': '814429d6-7844-471d-97af-196cd4020f26'}",{'flag': False},{'type': 'none'},caballete-antiguo-para-acuarela-1091618376,1737318999801,1737319203458,"[{'id': 12579, 'name': 'Sports & leisure', 'icon': 'ball'}, {'id': 10101, 'name': 'Crafts Arts & crafts', 'icon': None}]",{'flag': True},{'flag': False}
qjw4wexgxkzo,mznlwrkvrkjn,Babolat viper Juan Lebron 2025,"Babolat Viper 2025.

Pala con cuatro partidos de uso, esteticamente perfecta, solo que tiene un par de roces que no se llegan a ver y la pala funciona perfectamente.

❌PRECIO FIJO.
❌NO CAMBIO.",12579,"{'amount': 245, 'currency': 'EUR'}","[{'average_color': '13C1AC', 'urls': {'small': 'https://cdn.wallapop.com/images/10420/i1/v4/__/c10420p1091523429/i5362145105.jpg?pictureSize=W320', 'medium': 'https://cdn.wallapop.com/images/10420/i1/v4/__/c10420p1091523429/i5362145105.jpg?pictureSize=W640', 'big': 'https://cdn.wallapop.com/images/10420/i1/v4/__/c10420p1091523429/i5362145105.jpg?pictureSize=W800'}}, {'average_color': '13C1AC', 'urls': {'small': 'https://cdn.wallapop.com/images/10420/i1/v4/__/c10420p1091523429/i5362145181.jpg?pictureSize=W320', 'medium': 'https://cdn.wallapop.com/images/10420/i1/v4/__/c10420p1091523429/i5362145181.jpg?pictureSize=W640', 'big': 'https://cdn.wallapop.com/images/10420/i1/v4/__/c10420p1091523429/i5362145181.jpg?pictureSize=W800'}}, {'average_color': '13C1AC', 'urls': {'small': 'https://cdn.wallapop.com/images/10420/i1/v4/__/c10420p1091523429/i5362145160.jpg?pictureSize=W320', 'medium': 'https://cdn.wallapop.com/images/10420/i1/v4/__/c10420p1091523429/i5362145160.jpg?pictureSize=W640', 'big': 'https://cdn.wallapop.com/images/10420/i1/v4/__/c10420p1091523429/i5362145160.jpg?pictureSize=W800'}}, {'average_color': '13C1AC', 'urls': {'small': 'https://cdn.wallapop.com/images/10420/i1/v4/__/c10420p1091523429/i5362145145.jpg?pictureSize=W320', 'medium': 'https://cdn.wallapop.com/images/10420/i1/v4/__/c10420p1091523429/i5362145145.jpg?pictureSize=W640', 'big': 'https://cdn.wallapop.com/images/10420/i1/v4/__/c10420p1091523429/i5362145145.jpg?pictureSize=W800'}}, {'average_color': '13C1AC', 'urls': {'small': 'https://cdn.wallapop.com/images/10420/i1/v4/__/c10420p1091523429/i5362145134.jpg?pictureSize=W320', 'medium': 'https://cdn.wallapop.com/images/10420/i1/v4/__/c10420p1091523429/i5362145134.jpg?pictureSize=W640', 'big': 'https://cdn.wallapop.com/images/10420/i1/v4/__/c10420p1091523429/i5362145134.jpg?pictureSize=W800'}}]",{'flag': False},"{'latitude': 40.4192127, 'longitude': -3.692517, 'postal_code': '28014', 'city': 'Madrid', 'region': 'Comunidad de Madrid', 'region2': 'Madrid', 'country_code': 'ES'}","{'item_is_shippable': True, 'user_allows_shipping': True}",{'flag': False},{'type': 'city'},babolat-viper-juan-lebron-2025-1091523429,1737306958484,1737325765681,"[{'id': 12579, 'name': 'Sports & leisure', 'icon': 'ball'}, {'id': 10108, 'name': 'Tennis & paddle tennis', 'icon': None}]",{'flag': True},{'flag': False}
ejk834201qjx,v9jd4vo194jk,Cartas Magic the Gathering,"5 Packs, cada uno de ellos de 300 cartas Magic comunes, 200 infrecuentes y 20 raras, además de cartas de arte y fichas.
De diversas colecciones. El precio es por los 5 packs conjuntamente.",12579,"{'amount': 45, 'currency': 'EUR'}","[{'average_color': '13C1AC', 'urls': {'small': 'https://cdn.wallapop.com/images/10420/i1/vq/__/c10420p1091551671/i5362254994.jpg?pictureSize=W320', 'medium': 'https://cdn.wallapop.com/images/10420/i1/vq/__/c10420p1091551671/i5362254994.jpg?pictureSize=W640', 'big': 'https://cdn.wallapop.com/images/10420/i1/vq/__/c10420p1091551671/i5362254994.jpg?pictureSize=W800'}}, {'average_color': '13C1AC', 'urls': {'small': 'https://cdn.wallapop.com/images/10420/i1/vq/__/c10420p1091551671/i5362255051.jpg?pictureSize=W320', 'medium': 'https://cdn.wallapop.com/images/10420/i1/vq/__/c10420p1091551671/i5362255051.jpg?pictureSize=W640', 'big': 'https://cdn.wallapop.com/images/10420/i1/vq/__/c10420p1091551671/i5362255051.jpg?pictureSize=W800'}}]",{'flag': True},"{'latitude': 40.416920641514075, 'longitude': -3.701265396224672, 'postal_code': '28014', 'city': 'Madrid', 'region': 'Comunidad de Madrid', 'region2': 'Madrid', 'country_code': 'ES'}","{'item_is_shippable': True, 'user_allows_shipping': True, 'cost_configuration_id': '814429d6-7844-471d-97af-196cd4020f26'}",{'flag': False},{'type': 'none'},cartas-magic-the-gathering-1091551671,1737310392830,1737371351801,"[{'id': 12579, 'name': 'Sports & leisure', 'icon': 'ball'}, {'id': 10100, 'name': 'Recreational & board games', 'icon': None}]",{'flag': True},{'flag': False}
