id,user_id,title,description,category_id,price,images,reserved,location,shipping,favorited,bump,web_slug,created_at,modified_at,taxonomy,is_favoriteable,is_refurbished,discount
nz04o7v4x7jo,8z8qmxx7voz3,Figura Figuarts Zero Sukuna,"Figura de Sukuna, de Fitguars Zero , anime jujutsu kaisen, medidas 13 cm aprox",12485,"{'amount': 89.95, 'currency': 'EUR'}","[{'average_color': '13C1AC', 'urls': {'small': 'https://cdn.wallapop.com/images/10420/i1/b6/__/c10420p1090592375/i5357968148.jpg?pictureSize=W320', 'medium': 'https://cdn.wallapop.com/images/10420/i1/b6/__/c10420p1090592375/i5357968148.jpg?pictureSize=W640', 'big': 'https://cdn.wallapop.com/images/10420/i1/b6/__/c10420p1090592375/i5357968148.jpg?pictureSize=W800'}}, {'average_color': '13C1AC', 'urls': {'small': 'https://cdn.wallapop.com/images/10420/i1/b6/__/c10420p1090592375/i5357968181.jpg?pictureSize=W320', 'medium': 'https://cdn.wallapop.com/images/10420/i1/b6/__/c10420p1090592375/i5357968181.jpg?pictureSize=W640', 'big': 'https://cdn.wallapop.com/images/10420/i1/b6/__/c10420p1090592375/i5357968181.jpg?pictureSize=W800'}}]",{'flag': False},"{'latitude': 40.417166168589844, 'longitude': -3.688848425980609, 'postal_code': '28014', 'city': 'Madrid', 'region': 'Comunidad de Madrid', 'region2': 'Madrid', 'country_code': 'ES'}","{'item_is_shippable': True, 'user_allows_shipping': True}",{'flag': False},{'type': 'zone'},figura-figuarts-zero-sukuna-1090592375,1737102708514,1737353951660,"[{'id': 12485, 'name': 'Other', 'icon': 'ghost'}]",{'flag': True},{'flag': False},
pzp2e11e5kj3,pzp925mgmm63,viendo los 2 por 65 euros ,perfecto 👌722655568,12485,"{'amount': 65, 'currency': 'EUR'}","[{'average_color': '13C1AC', 'urls': {'small': 'https://cdn.wallapop.com/images/10420/i2/3r/__/c10420p1091926326/i5364063333.jpg?pictureSize=W320', 'medium': 'https://cdn.wallapop.com/images/10420/i2/3r/__/c10420p1091926326/i5364063333.jpg?pictureSize=W640', 'big': 'https://cdn.wallapop.com/images/10420/i2/3r/__/c10420p1091926326/i5364063333.jpg?pictureSize=W800'}}, {'average_color': '13C1AC', 'urls': {'small': 'https://cdn.wallapop.com/images/10420/i2/3r/__/c10420p1091926326/i5364063597.jpg?pictureSize=W320', 'medium': 'https://cdn.wallapop.com/images/10420/i2/3r/__/c10420p1091926326/i5364063597.jpg?pictureSize=W640', 'big': 'https://cdn.wallapop.com/images/10420/i2/3r/__/c10420p1091926326/i5364063597.jpg?pictureSize=W800'}}, {'average_color': '13C1AC', 'urls': {'small': 'https://cdn.wallapop.com/images/10420/i2/3r/__/c10420p1091926326/i5364063630.jpg?pictureSize=W320', 'medium': 'https://cdn.wallapop.com/images/10420/i2/3r/__/c10420p1091926326/i5364063630.jpg?pictureSize=W640', 'big': 'https://cdn.wallapop.com/images/10420/i2/3r/__/c10420p1091926326/i5364063630.jpg?pictureSize=W800'}}, {'average_color': '13C1AC', 'urls': {'small': 'https://cdn.wallapop.com/images/10420/i2/3r/__/c10420p1091926326/i5364063691.jpg?pictureSize=W320', 'medium': 'https://cdn.wallapop.com/images/10420/i2/3r/__/c10420p1091926326/i5364063691.jpg?pictureSize=W640', 'big': 'https://cdn.wallapop.com/images/10420/i2/3r/__/c10420p1091926326/i5364063691.jpg?pictureSize=W800'}}, {'average_color': '13C1AC', 'urls': {'small': 'https://cdn.wallapop.com/images/10420/i2/3r/__/c10420p1091926326/i5364063737.jpg?pictureSize=W320', 'medium': 'https://cdn.wallapop.com/images/10420/i2/3r/__/c10420p1091926326/i5364063737.jpg?pictureSize=W640', 'big': 'https://cdn.wallapop.com/images/10420/i2/3r/__/c10420p1091926326/i5364063737.jpg?pictureSize=W800'}}, {'average_color': '13C1AC', 'urls': {'small': 'https://cdn.wallapop.com/images/10420/i2/3r/__/c10420p1091926326/i5364063803.jpg?pictureSize=W320', 'medium': 'https://cdn.wallapop.com/images/10420/i2/3r/__/c10420p1091926326/i5364063803.jpg?pictureSize=W640', 'big': 'https://cdn.wallapop.com/images/10420/i2/3r/__/c10420p1091926326/i5364063803.jpg?pictureSize=W800'}}, {'average_color': '13C1AC', 'urls': {'small': 'https://cdn.wallapop.com/images/10420/i2/3r/__/c10420p1091926326/i5364063863.jpg?pictureSize=W320', 'medium': 'https://cdn.wallapop.com/images/10420/i2/3r/__/c10420p1091926326/i5364063863.jpg?pictureSize=W640', 'big': 'https://cdn.wallapop.com/images/10420/i2/3r/__/c10420p1091926326/i5364063863.jpg?pictureSize=W800'}}, {'average_color': '13C1AC', 'urls': {'small': 'https://cdn.wallapop.com/images/10420/i2/3r/__/c10420p1091926326/i5364063912.jpg?pictureSize=W320', 'medium': 'https://cdn.wallapop.com/images/10420/i2/3r/__/c10420p1091926326/i5364063912.jpg?pictureSize=W640', 'big': 'https://cdn.wallapop.com/images/10420/i2/3r/__/c10420p1091926326/i5364063912.jpg?pictureSize=W800'}}]",{'flag': False},"{'latitude': 40.424087535502856, 'longitude': -3.695034589988885, 'postal_code': '28014', 'city': 'Madrid', 'region': 'Comunidad de Madrid', 'region2': 'Madrid', 'country_code': 'ES'}","{'item_is_shippable': True, 'user_allows_shipping': True}",{'flag': False},{'type': 'none'},viendo-los-2-por-65-euros-1091926326,1737396430892,1737396449947,"[{'id': 12485, 'name': 'Other', 'icon': 'ghost'}]",{'flag': True},{'flag': False},
3zl82g5g4p6x,e65yv1oy0kjo,FOCO LED BARRAS HERVICIDAS,"foco led con lente azul se utiliza para proyectar la luz sobre las boquillas de barras de tratamiento agricola para ir verificando que todas las boquillas arrojan producto sobre el terreno, 18w de potencia funciona a 12v y 24v muy practico, enviamos a toda españa contarembolso atendemos whattsap telefono email los 365 dias al año. ademas contamos con todo tipo de focos led y barras 18w 27w 48w 72w 96w 120w 180w 240w 300w. se envia segovia la coruña leon granada asturias burgos huesca palencia valladolidetc",12485,"{'amount': 30, 'currency': 'EUR'}","[{'average_color': '13C1AC', 'urls': {'small': 'https://cdn.wallapop.com/images/10420/i1/yu/__/c10420p1091696293/i5362941254.jpg?pictureSize=W320', 'medium': 'https://cdn.wallapop.com/images/10420/i1/yu/__/c10420p1091696293/i5362941254.jpg?pictureSize=W640', 'big': 'https://cdn.wallapop.com/images/10420/i1/yu/__/c10420p1091696293/i5362941254.jpg?pictureSize=W800'}}]",{'flag': False},"{'latitude': 40.42155471027009, 'longitude': -3.688756015509273, 'postal_code': '28014', 'city': 'Madrid', 'region': 'Comunidad de Madrid', 'region2': 'Madrid', 'country_code': 'ES'}","{'item_is_shippable': True, 'user_allows_shipping': True, 'cost_configuration_id': '814429d6-7844-471d-97af-196cd4020f26'}",{'flag': False},{'type': 'none'},foco-led-barras-hervicidas-1091696293,1737355328842,1737355339222,"[{'id': 12485, 'name': 'Other', 'icon': 'ghost'}]",{'flag': True},{'flag': False},
nz04pmd9yrjo,e65yv1oy0kjo,FOCO TRABAJO REDONDO 48W 12-24V REDONDO.,"NUEVOS, Foco de trabajo, redondo de 48w, de alta capacidad, 16 led x 3w, Luz de 6000K-6500K, Admite trabajar con baterias de 12v a 24v, estructura de aluminio. Foco led 48w Proporciona visibilidad a gran distancia y a corta distancia, Foco 42w es fuerte tiene IP67, con lo que es a prueba de polvo y lluvia, Para ser utilizada en pesca, camiones, tractores, camiones, gruas, maquinaria agricola, cosechadoras, excavadoras, 4 x 4 , rally, todoterrenos",12485,"{'amount': 15, 'currency': 'EUR'}","[{'average_color': '13C1AC', 'urls': {'small': 'https://cdn.wallapop.com/images/10420/i1/yt/__/c10420p1091695327/i5362937542.jpg?pictureSize=W320', 'medium': 'https://cdn.wallapop.com/images/10420/i1/yt/__/c10420p1091695327/i5362937542.jpg?pictureSize=W640', 'big': 'https://cdn.wallapop.com/images/10420/i1/yt/__/c10420p1091695327/i5362937542.jpg?pictureSize=W800'}}]",{'flag': False},"{'latitude': 40.42155471027009, 'longitude': -3.688756015509273, 'postal_code': '28014', 'city': 'Madrid', 'region': 'Comunidad de Madrid', 'region2': 'Madrid', 'country_code': 'ES'}","{'item_is_shippable': True, 'user_allows_shipping': True, 'cost_configuration_id': '814429d6-7844-471d-97af-196cd4020f26'}",{'flag': False},{'type': 'none'},foco-trabajo-redondo-48w-12-24v-redondo-1091695327,1737355050089,1737355060488,"[{'id': 12485, 'name': 'Other', 'icon': 'ghost'}]",{'flag': True},{'flag': False},
wzy408x572z5,mznlgdq2x2jn,FREIDORA A GAS MOD: SV-98FRG21VL,"Dimensiones: 800x900x870 mm.
Capacidad de la cuba: 21+21 L
Potencia total: 38 Kw
QUEMADORES FUERA DE LA CUBA.
EL PRECIO ES + IVA ",12485,"{'amount': 2998, 'currency': 'EUR'}","[{'average_color': '13C1AC', 'urls': {'small': 'https://cdn.wallapop.com/images/10420/hq/af/__/c10420p1072081244/i5255278971.jpg?pictureSize=W320', 'medium': 'https://cdn.wallapop.com/images/10420/hq/af/__/c10420p1072081244/i5255278971.jpg?pictureSize=W640', 'big': 'https://cdn.wallapop.com/images/10420/hq/af/__/c10420p1072081244/i5255278971.jpg?pictureSize=W800'}}]",{'flag': False},"{'latitude': 40.413625127377, 'longitude': -3.696558118397145, 'postal_code': '28014', 'city': 'Madrid', 'region': 'Comunidad de Madrid', 'region2': 'Madrid', 'country_code': 'ES'}","{'item_is_shippable': False, 'user_allows_shipping': False}",{'flag': False},{'type': 'none'},freidora-a-gas-mod-sv-98frg21vl-1072081244,1732269621887,1733124854536,"[{'id': 12485, 'name': 'Other', 'icon': 'ghost'}]",{'flag': True},{'flag': False},
pj9m2yr81m6e,e65yv1oy0kjo,FOCO LED CUADRADO,"foco led 16 led 48w 4600 lumenes ideales para tractores medidas 11x11 funcionan a 12v y 24v resistentes agua polvo, envios urgentes a toda esp�a contrarembolso atendemos whattsap email telefono. tambien disponemos de 18w 24w 36w 48w 51w 72w 120w 180w 240w 300w valido para pesca del calamar, pesca, camiones, tractores, camiones, gruas, maquinaria agricola, cosechadoras, excavadoras, 4 x 4 , rally, todoterrenos, remolques, camping SUV, AT  hormigoneras, dumper man mercedes daf renault iveco scania volvo astra ebro pegaso deu leilan 6x6 6x4-carrillero de obra-bañeras 2 y 3 ejes-basculantes-volquete8x4 4x46x2-camiones rígidos con grúa o",12485,"{'amount': 15, 'currency': 'EUR'}","[{'average_color': '13C1AC', 'urls': {'small': 'https://cdn.wallapop.com/images/10420/i1/yt/__/c10420p1091695013/i5362936333.jpg?pictureSize=W320', 'medium': 'https://cdn.wallapop.com/images/10420/i1/yt/__/c10420p1091695013/i5362936333.jpg?pictureSize=W640', 'big': 'https://cdn.wallapop.com/images/10420/i1/yt/__/c10420p1091695013/i5362936333.jpg?pictureSize=W800'}}]",{'flag': False},"{'latitude': 40.42155471027009, 'longitude': -3.688756015509273, 'postal_code': '28014', 'city': 'Madrid', 'region': 'Comunidad de Madrid', 'region2': 'Madrid', 'country_code': 'ES'}","{'item_is_shippable': True, 'user_allows_shipping': True, 'cost_configuration_id': '814429d6-7844-471d-97af-196cd4020f26'}",{'flag': False},{'type': 'none'},foco-led-cuadrado-1091695013,1737354956987,1737354967391,"[{'id': 12485, 'name': 'Other', 'icon': 'ghost'}]",{'flag': True},{'flag': False},
p6140oex5d65,e65yv1oy0kjo,"FOCO TRABAJO LUZ 27W REDONDO ,","NUEVO Foco trabajo, redondo de 27w, de alta capacidad, 9 led x 3w, Luz de 6000K-6500K, Acepta trabajar con baterias de 12v a 24v, estructura de aluminio. Foco 27 w Da visibilidad a larga distancia y a corta distancia Resistente tiene certificación IP67, con lo que es a prueba de polvo y lluvia, Para ser utilizada en pesca, camiones, tractores, camiones, gruas, maquinaria agricola, cosechadoras, excavadoras, 4 x 4 , rally, todoterrenos, remolques",12485,"{'amount': 12, 'currency': 'EUR'}","[{'average_color': '13C1AC', 'urls': {'small': 'https://cdn.wallapop.com/images/10420/i1/yt/__/c10420p1091694707/i5362935187.jpg?pictureSize=W320', 'medium': 'https://cdn.wallapop.com/images/10420/i1/yt/__/c10420p1091694707/i5362935187.jpg?pictureSize=W640', 'big': 'https://cdn.wallapop.com/images/10420/i1/yt/__/c10420p1091694707/i5362935187.jpg?pictureSize=W800'}}]",{'flag': False},"{'latitude': 40.42155471027009, 'longitude': -3.688756015509273, 'postal_code': '28014', 'city': 'Madrid', 'region': 'Comunidad de Madrid', 'region2': 'Madrid', 'country_code': 'ES'}","{'item_is_shippable': True, 'user_allows_shipping': True, 'cost_configuration_id': '814429d6-7844-471d-97af-196cd4020f26'}",{'flag': False},{'type': 'none'},foco-trabajo-luz-27w-redondo-1091694707,1737354868242,1737354878562,"[{'id': 12485, 'name': 'Other', 'icon': 'ghost'}]",{'flag': True},{'flag': False},
8z8k31ro7lz3,e65yv1oy0kjo,FOCO LED 48W,"foco led 16 led 48w 4600 lumenes ideales para tractores medidas 11x11 funcionan a 12v y 24v resistentes agua polvo envios urgentes a toda espa�a contrarembolso atendemos whattsap email telefono. resistente al agua, apto para exteriores, motos, coches, quads, camiones, tractores, cosechadoras, carterpillar, veh�culos y m�quinas de trabajo, disponemos barras de led de 18w, 72W, 120W, 180W, 240w, 300W, disponemos focos redondos cuadrados rectangulares ovalados, Fendt 820 716 818 824 924 936 vario Massey ferguson 6480, 6499 , 7495 , 7480 , 6290 , 7620 , 7624 , 7499 

tercer punto john deere 7920 , 7930 , new holand , valtra , case , cla",12485,"{'amount': 15, 'currency': 'EUR'}","[{'average_color': '13C1AC', 'urls': {'small': 'https://cdn.wallapop.com/images/10420/i1/ys/__/c10420p1091694422/i5362934115.jpg?pictureSize=W320', 'medium': 'https://cdn.wallapop.com/images/10420/i1/ys/__/c10420p1091694422/i5362934115.jpg?pictureSize=W640', 'big': 'https://cdn.wallapop.com/images/10420/i1/ys/__/c10420p1091694422/i5362934115.jpg?pictureSize=W800'}}]",{'flag': False},"{'latitude': 40.42155471027009, 'longitude': -3.688756015509273, 'postal_code': '28014', 'city': 'Madrid', 'region': 'Comunidad de Madrid', 'region2': 'Madrid', 'country_code': 'ES'}","{'item_is_shippable': True, 'user_allows_shipping': True, 'cost_configuration_id': '814429d6-7844-471d-97af-196cd4020f26'}",{'flag': False},{'type': 'none'},foco-led-48w-1091694422,1737354785801,1737354796189,"[{'id': 12485, 'name': 'Other', 'icon': 'ghost'}]",{'flag': True},{'flag': False},
xzo21q2n4269,mznlgdq2x2jn,SARTEN FUNDICIÓN CON ALZATINA MOD:599595 SERIE 2,"Voltaje: 400 V
Frecuencia: 50/60 Hz
Fases: 3N
Consumo: 15,2
Dimensiones: 1400x900x900 mm.
Peso: 268 kg.
SE VENDE EN SU ESTADO, ES NUEVA DE EXPO.
EL PRECIO ES + IVA 
",12485,"{'amount': 2998, 'currency': 'EUR'}","[{'average_color': '13C1AC', 'urls': {'small': 'https://cdn.wallapop.com/images/10420/hq/9q/__/c10420p1072049309/i5255166699.jpg?pictureSize=W320', 'medium': 'https://cdn.wallapop.com/images/10420/hq/9q/__/c10420p1072049309/i5255166699.jpg?pictureSize=W640', 'big': 'https://cdn.wallapop.com/images/10420/hq/9q/__/c10420p1072049309/i5255166699.jpg?pictureSize=W800'}}, {'average_color': '13C1AC', 'urls': {'small': 'https://cdn.wallapop.com/images/10420/hq/9q/__/c10420p1072049309/i5255166705.jpg?pictureSize=W320', 'medium': 'https://cdn.wallapop.com/images/10420/hq/9q/__/c10420p1072049309/i5255166705.jpg?pictureSize=W640', 'big': 'https://cdn.wallapop.com/images/10420/hq/9q/__/c10420p1072049309/i5255166705.jpg?pictureSize=W800'}}, {'average_color': '13C1AC', 'urls': {'small': 'https://cdn.wallapop.com/images/10420/hq/9q/__/c10420p1072049309/i5255166703.jpg?pictureSize=W320', 'medium': 'https://cdn.wallapop.com/images/10420/hq/9q/__/c10420p1072049309/i5255166703.jpg?pictureSize=W640', 'big': 'https://cdn.wallapop.com/images/10420/hq/9q/__/c10420p1072049309/i5255166703.jpg?pictureSize=W800'}}, {'average_color': '13C1AC', 'urls': {'small': 'https://cdn.wallapop.com/images/10420/hq/9q/__/c10420p1072049309/i5255166706.jpg?pictureSize=W320', 'medium': 'https://cdn.wallapop.com/images/10420/hq/9q/__/c10420p1072049309/i5255166706.jpg?pictureSize=W640', 'big': 'https://cdn.wallapop.com/images/10420/hq/9q/__/c10420p1072049309/i5255166706.jpg?pictureSize=W800'}}, {'average_color': '13C1AC', 'urls': {'small': 'https://cdn.wallapop.com/images/10420/hq/9q/__/c10420p1072049309/i5255166702.jpg?pictureSize=W320', 'medium': 'https://cdn.wallapop.com/images/10420/hq/9q/__/c10420p1072049309/i5255166702.jpg?pictureSize=W640', 'big': 'https://cdn.wallapop.com/images/10420/hq/9q/__/c10420p1072049309/i5255166702.jpg?pictureSize=W800'}}, {'average_color': '13C1AC', 'urls': {'small': 'https://cdn.wallapop.com/images/10420/hq/9q/__/c10420p1072049309/i5255166704.jpg?pictureSize=W320', 'medium': 'https://cdn.wallapop.com/images/10420/hq/9q/__/c10420p1072049309/i5255166704.jpg?pictureSize=W640', 'big': 'https://cdn.wallapop.com/images/10420/hq/9q/__/c10420p1072049309/i5255166704.jpg?pictureSize=W800'}}]",{'flag': False},"{'latitude': 40.413625127377, 'longitude': -3.696558118397145, 'postal_code': '28014', 'city': 'Madrid', 'region': 'Comunidad de Madrid', 'region2': 'Madrid', 'country_code': 'ES'}","{'item_is_shippable': False, 'user_allows_shipping': False}",{'flag': False},{'type': 'none'},sarten-fundicion-con-alzatina-mod-599595-serie-2-1072049309,1732265453261,1733124845800,"[{'id': 12485, 'name': 'Other', 'icon': 'ghost'}]",{'flag': True},{'flag': False},"{'previous_price': {'amount': 5000, 'currency': 'EUR'}, 'percentage': 40}"
v6ggx4kdel6e,e65yv1oy0kjo,foco para tractores de 48w led,"Foco led de 48w de luz blancatanto a 12v como a 24v con carcasa en aluminio y el soporte en acero inoxidable. resistente al agua, valido para tractores (ebro, fendt, massey, john deere, 6910 6920 6810 6820. . . classs, landini, renault, barreiros, todoter renos, cosechadoras, manitou, retroexcavadoras, camiones , quad, todoterreno. . camiones trailer remolques cuenta con 4800lumenes enviamos a toda españa por mrw somos empresa contacte por whassap email o telefono con garantia Jaén granada Madrid Sevilla",12485,"{'amount': 15, 'currency': 'EUR'}","[{'average_color': '13C1AC', 'urls': {'small': 'https://cdn.wallapop.com/images/10420/i1/ys/__/c10420p1091694188/i5362933186.jpg?pictureSize=W320', 'medium': 'https://cdn.wallapop.com/images/10420/i1/ys/__/c10420p1091694188/i5362933186.jpg?pictureSize=W640', 'big': 'https://cdn.wallapop.com/images/10420/i1/ys/__/c10420p1091694188/i5362933186.jpg?pictureSize=W800'}}]",{'flag': False},"{'latitude': 40.42155471027009, 'longitude': -3.688756015509273, 'postal_code': '28014', 'city': 'Madrid', 'region': 'Comunidad de Madrid', 'region2': 'Madrid', 'country_code': 'ES'}","{'item_is_shippable': True, 'user_allows_shipping': True, 'cost_configuration_id': '814429d6-7844-471d-97af-196cd4020f26'}",{'flag': False},{'type': 'none'},foco-para-tractores-de-48w-led-1091694188,1737354711185,1737354721566,"[{'id': 12485, 'name': 'Other', 'icon': 'ghost'}]",{'flag': True},{'flag': False},
